ticker,quarter,report_period,fiscal_period,period,currency,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted
AMZN,2023Q1,2023-03-31,2023-Q1,quarterly,USD,464378000000.0,136221000000.0,49343000000.0,34170000000.0,15062000000.0,,137417000000.0,,22749000000.0,15062000000.0,,10260353688.0,,312652000000.0,147570000000.0,6776000000.0,66907000000.0,14281000000.0,16100000000.0,165082000000.0,77855000000.0,,154526000000.0,86365000000.0,-3973000000.0,84631000000.0,3172000000.0,11123000000.0,4748000000.0,4788000000.0,-14207000000.0,3513000000.0,-777000000.0,-15806000000.0,-2766000000.0,0.0,,6354000000.0,-4519000000.0,145000000.0,49343000000.0,-9419000000.0,3172000000.0,127358000000.0,67791000000.0,59567000000.0,15411000000.0,13215000000.0,,4774000000.0,80000000.0,4200000000.0,948000000.0,,,3172000000.0,0.0,3172000000.0,0.31,0.31,,10250000000.0,10347000000.0
AMZN,2023Q2,2023-06-30,2023-Q2,quarterly,USD,477607000000.0,140482000000.0,49529000000.0,36587000000.0,14441000000.0,,143356000000.0,,22785000000.0,14441000000.0,,10317750796.0,,311705000000.0,148238000000.0,8121000000.0,69481000000.0,14522000000.0,16100000000.0,163467000000.0,73526000000.0,,168602000000.0,93115000000.0,-3680000000.0,81647000000.0,6750000000.0,11589000000.0,7127000000.0,16476000000.0,-11455000000.0,316000000.0,-1055000000.0,-9673000000.0,-3220000000.0,0.0,,-6539000000.0,333000000.0,69000000.0,49529000000.0,5021000000.0,6750000000.0,134383000000.0,69373000000.0,65010000000.0,16246000000.0,13947000000.0,,7681000000.0,76000000.0,7630000000.0,804000000.0,,,6750000000.0,0.0,6750000000.0,0.66,0.65,,10285000000.0,10449000000.0
AMZN,2023Q3,2023-09-30,2023-Q3,quarterly,USD,486883000000.0,142995000000.0,49605000000.0,35406000000.0,14564000000.0,,147431000000.0,,22749000000.0,14564000000.0,,10334030586.0,,306610000000.0,145214000000.0,8546000000.0,72004000000.0,14398000000.0,16100000000.0,161396000000.0,71179000000.0,,182973000000.0,102994000000.0,-5003000000.0,79725000000.0,9879000000.0,12131000000.0,5829000000.0,21217000000.0,-12479000000.0,,-1174000000.0,-11753000000.0,-1005000000.0,0.0,,-8948000000.0,14000000.0,-502000000.0,49605000000.0,8738000000.0,9879000000.0,143083000000.0,75022000000.0,68061000000.0,15471000000.0,13112000000.0,,11188000000.0,74000000.0,12259000000.0,2306000000.0,,,9879000000.0,0.0,9879000000.0,0.96,0.94,,10322000000.0,10558000000.0
AMZN,2023Q4,2023-12-31,2023-Q4,quarterly,USD,527854000000.0,172351000000.0,73387000000.0,33318000000.0,13393000000.0,52253000000.0,355503000000.0,276690000000.0,22789000000.0,13393000000.0,0.0,10334030586.0,0.0,325979000000.0,164917000000.0,10526000000.0,84981000000.0,15227000000.0,0.0,161062000000.0,68391000000.0,0.0,201875000000.0,113618000000.0,-3040000000.0,78917000000.0,10624000000.0,13820000000.0,6319000000.0,42465000000.0,-14588000000.0,-381000000.0,1133000000.0,-12601000000.0,-6746000000.0,0.0,0.0,-6746000000.0,23809000000.0,691000000.0,73387000000.0,27877000000.0,29112000000.0,169961000000.0,92553000000.0,77408000000.0,64199000000.0,15912000000.0,22038000000.0,13209000000.0,713000000.0,14399000000.0,3062000000.0,0.0,0.0,10624000000.0,0.0,10624000000.0,1.02,1.01,0.0,10358000000.0,10612000000.0
AMZN,2024Q1,2024-03-31,2024-Q1,quarterly,USD,530969000000.0,163989000000.0,72852000000.0,31147000000.0,12222000000.0,,157036000000.0,,22770000000.0,12222000000.0,,10406627415.0,,320708000000.0,152965000000.0,10524000000.0,73068000000.0,15927000000.0,20900000000.0,167743000000.0,67248000000.0,,216661000000.0,124049000000.0,-3598000000.0,77772000000.0,10431000000.0,11684000000.0,4961000000.0,18989000000.0,-14925000000.0,3354000000.0,573000000.0,-17862000000.0,-1100000000.0,0.0,,-1256000000.0,-558000000.0,-429000000.0,72852000000.0,4064000000.0,10431000000.0,143313000000.0,72633000000.0,70680000000.0,13345000000.0,12404000000.0,,15307000000.0,73000000.0,12971000000.0,2467000000.0,,,10431000000.0,0.0,10431000000.0,1.0,0.98,,10393000000.0,10670000000.0
AMZN,2024Q2,2024-06-30,2024-Q2,quarterly,USD,554818000000.0,173307000000.0,71178000000.0,34109000000.0,17914000000.0,,160798000000.0,,22879000000.0,17914000000.0,,10495566881.0,,325071000000.0,158172000000.0,8944000000.0,81817000000.0,16004000000.0,20900000000.0,166899000000.0,64277000000.0,,236447000000.0,137534000000.0,-3993000000.0,73221000000.0,13485000000.0,12038000000.0,6722000000.0,25281000000.0,-17620000000.0,571000000.0,5174000000.0,-22138000000.0,-4707000000.0,,,-4490000000.0,-1659000000.0,-312000000.0,71178000000.0,7661000000.0,13485000000.0,147977000000.0,73785000000.0,74192000000.0,14501000000.0,13553000000.0,,14672000000.0,589000000.0,15841000000.0,1767000000.0,,,13485000000.0,0.0,13485000000.0,1.29,1.26,,10447000000.0,10708000000.0
AMZN,2024Q3,2024-09-30,2024-Q3,quarterly,USD,584626000000.0,175792000000.0,75091000000.0,36103000000.0,12960000000.0,,174170000000.0,,23081000000.0,12960000000.0,,10515011008.0,,332475000000.0,161477000000.0,6729000000.0,84570000000.0,16305000000.0,20900000000.0,170998000000.0,64316000000.0,,259151000000.0,152862000000.0,-1918000000.0,71045000000.0,15328000000.0,13442000000.0,5333000000.0,25971000000.0,-22620000000.0,622000000.0,-5001000000.0,-16899000000.0,-2585000000.0,,,-2758000000.0,7004000000.0,690000000.0,75091000000.0,3351000000.0,15328000000.0,158877000000.0,80977000000.0,77900000000.0,14362000000.0,13322000000.0,,17411000000.0,603000000.0,18637000000.0,2706000000.0,,,15328000000.0,0.0,15328000000.0,1.46,1.43,,10501000000.0,10735000000.0
AMZN,2024Q4,2024-12-31,2024-Q4,quarterly,USD,624894000000.0,190867000000.0,78779000000.0,34214000000.0,22423000000.0,55451000000.0,434027000000.0,328806000000.0,23074000000.0,22423000000.0,0.0,10515011008.0,0.0,338924000000.0,179431000000.0,6543000000.0,94363000000.0,18103000000.0,0.0,159493000000.0,61850000000.0,0.0,285970000000.0,172866000000.0,-34000000.0,68393000000.0,20004000000.0,15631000000.0,4995000000.0,45636000000.0,-27834000000.0,-2535000000.0,-8856000000.0,-37443000000.0,-3308000000.0,0.0,0.0,-3308000000.0,3635000000.0,-1250000000.0,78779000000.0,17802000000.0,19584000000.0,187792000000.0,98893000000.0,88899000000.0,67696000000.0,15987000000.0,23571000000.0,21203000000.0,570000000.0,22899000000.0,2325000000.0,0.0,0.0,20004000000.0,0.0,20004000000.0,1.9,1.86,0.0,10551000000.0,10769000000.0
AMZN,2025Q1,2025-03-31,2025-Q1,quarterly,USD,643256000000.0,184645000000.0,66207000000.0,35864000000.0,28358000000.0,,190351000000.0,,23089000000.0,29558000000.0,1200000000.0,10616352407.0,,342289000000.0,176171000000.0,6449000000.0,89241000000.0,20599000000.0,24600000000.0,166118000000.0,62398000000.0,,305867000000.0,189993000000.0,-914000000.0,68847000000.0,17127000000.0,14262000000.0,3689000000.0,17015000000.0,-25019000000.0,-48000000.0,6896000000.0,-29803000000.0,336000000.0,,,-47000000.0,-12419000000.0,416000000.0,66207000000.0,-8004000000.0,17127000000.0,155667000000.0,76976000000.0,78691000000.0,13264000000.0,12391000000.0,,18405000000.0,541000000.0,22221000000.0,4553000000.0,,,17127000000.0,0.0,17127000000.0,1.62,1.59,,10603000000.0,10793000000.0
AMZN,2025Q2,2025-06-30,2025-Q2,quarterly,USD,682170000000.0,191420000000.0,57741000000.0,40825000000.0,35439000000.0,,197690000000.0,,23155000000.0,36639000000.0,1200000000.0,10664912097.0,,352695000000.0,186921000000.0,6554000000.0,98285000000.0,21662000000.0,24600000000.0,165774000000.0,60545000000.0,,333775000000.0,208157000000.0,2420000000.0,67099000000.0,18164000000.0,15227000000.0,6534000000.0,32515000000.0,-32183000000.0,1700000000.0,7656000000.0,-39424000000.0,-3162000000.0,,,-2539000000.0,-8440000000.0,1008000000.0,57741000000.0,332000000.0,18164000000.0,167702000000.0,80809000000.0,86893000000.0,15208000000.0,14381000000.0,,19171000000.0,516000000.0,21358000000.0,2678000000.0,,,18164000000.0,0.0,18164000000.0,1.71,1.68,,10637000000.0,10806000000.0
