ticker,quarter,report_period,fiscal_period,period,currency,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted
META,2023Q1,2023-03-31,2023-Q1,quarterly,USD,184491000000.0,52483000000.0,11551000000.0,,25913000000.0,,41703000000.0,,21598000000.0,25931000000.0,18000000.0,2212153203.0,,59696000000.0,25381000000.0,114000000.0,4557000000.0,460000000.0,492000000.0,41834000000.0,10498000000.0,,124795000000.0,61241000000.0,-2981000000.0,10612000000.0,5709000000.0,2524000000.0,3051000000.0,13998000000.0,-6842000000.0,,-449000000.0,-6743000000.0,-264000000.0,-9365000000.0,,-10516000000.0,-3176000000.0,85000000.0,11551000000.0,7156000000.0,-1133000000.0,28645000000.0,6108000000.0,22537000000.0,16231000000.0,5929000000.0,9381000000.0,7227000000.0,54000000.0,7361000000.0,1598000000.0,,,5709000000.0,0.0,5709000000.0,2.21,2.2,,2587000000.0,2596000000.0
META,2023Q2,2023-06-30,2023-Q2,quarterly,USD,206688000000.0,69560000000.0,28785000000.0,,24686000000.0,,43030000000.0,,21515000000.0,24745000000.0,59000000.0,2222582542.0,,72655000000.0,29921000000.0,181000000.0,3865000000.0,494000000.0,520000000.0,49883000000.0,18961000000.0,,134033000000.0,67980000000.0,-3106000000.0,19142000000.0,7788000000.0,2623000000.0,4060000000.0,17309000000.0,-6216000000.0,,-1099000000.0,-5203000000.0,8235000000.0,-898000000.0,,5292000000.0,17384000000.0,-14000000.0,28785000000.0,11093000000.0,-5270000000.0,31999000000.0,5945000000.0,26054000000.0,17789000000.0,7318000000.0,9344000000.0,9392000000.0,115000000.0,9408000000.0,1505000000.0,,,7788000000.0,0.0,7788000000.0,3.03,2.98,,2568000000.0,2612000000.0
META,2023Q3,2023-09-30,2023-Q3,quarterly,USD,216274000000.0,78378000000.0,36890000000.0,,24258000000.0,,40041000000.0,,21481000000.0,24317000000.0,59000000.0,2219607026.0,,73401000000.0,30531000000.0,85000000.0,5142000000.0,509000000.0,526000000.0,50276000000.0,18957000000.0,,142873000000.0,75205000000.0,-3556000000.0,19042000000.0,11583000000.0,2859000000.0,3492000000.0,20402000000.0,-6543000000.0,,-467000000.0,-6077000000.0,-267000000.0,-3569000000.0,,-5875000000.0,8096000000.0,-354000000.0,36890000000.0,13859000000.0,-8018000000.0,34146000000.0,6210000000.0,27936000000.0,15642000000.0,4947000000.0,9241000000.0,13748000000.0,137000000.0,14157000000.0,2437000000.0,,,11583000000.0,0.0,11583000000.0,4.5,4.39,,2576000000.0,2641000000.0
META,2023Q4,2023-12-31,2023-Q4,quarterly,USD,229623000000.0,85365000000.0,41862000000.0,0.0,23541000000.0,16169000000.0,144258000000.0,109881000000.0,20654000000.0,29682000000.0,6141000000.0,2569862732.0,0.0,76455000000.0,31960000000.0,90000000.0,4849000000.0,0.0,0.0,44495000000.0,18985000000.0,7514000000.0,153168000000.0,82070000000.0,-2155000000.0,19075000000.0,14017000000.0,3172000000.0,3424000000.0,19404000000.0,-7665000000.0,-64000000.0,1186000000.0,-6472000000.0,-307000000.0,-5942000000.0,0.0,-8401000000.0,4927000000.0,396000000.0,41862000000.0,11739000000.0,11812000000.0,40111000000.0,7695000000.0,32416000000.0,16032000000.0,5515000000.0,10517000000.0,16384000000.0,0.0,16807000000.0,2790000000.0,0.0,0.0,14017000000.0,0.0,14017000000.0,5.46,5.31,0.0,2565000000.0,2647000000.0
META,2024Q1,2024-03-31,2024-Q1,quarterly,USD,222844000000.0,75330000000.0,32307000000.0,,25813000000.0,,43274000000.0,,21483000000.0,25870000000.0,57000000.0,2191446233.0,,73315000000.0,28101000000.0,0.0,3785000000.0,599000000.0,645000000.0,45214000000.0,18387000000.0,,149529000000.0,76793000000.0,-2655000000.0,18387000000.0,12369000000.0,3374000000.0,3562000000.0,19246000000.0,-6400000000.0,,2262000000.0,-8734000000.0,-315000000.0,-15008000000.0,1273000000.0,-19767000000.0,-9543000000.0,-288000000.0,32307000000.0,12846000000.0,5969000000.0,36455000000.0,6640000000.0,29815000000.0,16237000000.0,6019000000.0,9978000000.0,13818000000.0,,14183000000.0,1814000000.0,,,12369000000.0,0.0,12369000000.0,4.86,4.71,0.5,2545000000.0,2625000000.0
META,2024Q2,2024-06-30,2024-Q2,quarterly,USD,230238000000.0,76431000000.0,32045000000.0,,26035000000.0,,45681000000.0,,21638000000.0,26091000000.0,56000000.0,2184728795.0,,73475000000.0,27004000000.0,0.0,3173000000.0,637000000.0,675000000.0,46471000000.0,18389000000.0,,156763000000.0,81188000000.0,-2695000000.0,18389000000.0,13465000000.0,3637000000.0,4616000000.0,19370000000.0,-8173000000.0,,56000000.0,-8298000000.0,-299000000.0,-6299000000.0,-7000000.0,-11178000000.0,-258000000.0,-152000000.0,32045000000.0,11197000000.0,-1108000000.0,39071000000.0,7308000000.0,31763000000.0,17196000000.0,6379000000.0,10537000000.0,14847000000.0,,15106000000.0,1641000000.0,,,13465000000.0,0.0,13465000000.0,5.31,5.16,0.5,2534000000.0,2610000000.0
META,2024Q3,2024-09-30,2024-Q3,quarterly,USD,256408000000.0,91067000000.0,43852000000.0,,27048000000.0,,49319000000.0,,21627000000.0,27101000000.0,53000000.0,2180000871.0,,91879000000.0,33330000000.0,0.0,7656000000.0,704000000.0,732000000.0,58549000000.0,28823000000.0,,164529000000.0,84972000000.0,-1192000000.0,28823000000.0,15688000000.0,4027000000.0,4250000000.0,24724000000.0,-8258000000.0,,354000000.0,-8620000000.0,9488000000.0,-8818000000.0,-3000000.0,-4371000000.0,12101000000.0,368000000.0,43852000000.0,16466000000.0,-7143000000.0,40589000000.0,7375000000.0,33214000000.0,16152000000.0,4687000000.0,11177000000.0,17350000000.0,200000000.0,18022000000.0,2134000000.0,,,15688000000.0,0.0,15688000000.0,6.2,6.03,0.5,2529000000.0,2600000000.0
META,2024Q4,2024-12-31,2024-Q4,quarterly,USD,276054000000.0,100045000000.0,43889000000.0,0.0,33926000000.0,16994000000.0,176009000000.0,136268000000.0,20654000000.0,39996000000.0,6070000000.0,2524488533.0,0.0,93417000000.0,33596000000.0,76000000.0,7687000000.0,0.0,0.0,59821000000.0,29459000000.0,9987000000.0,182637000000.0,102506000000.0,-3097000000.0,29535000000.0,20838000000.0,4460000000.0,4262000000.0,27988000000.0,-14425000000.0,-9000000.0,-7082000000.0,-21498000000.0,-411000000.0,0.0,-1270000000.0,-5465000000.0,311000000.0,-714000000.0,43889000000.0,13563000000.0,13563000000.0,48385000000.0,8839000000.0,39546000000.0,16182000000.0,4002000000.0,12180000000.0,23364000000.0,0.0,23552000000.0,2714000000.0,0.0,0.0,20838000000.0,0.0,20838000000.0,8.24,7.98,0.5,2528000000.0,2611000000.0
META,2025Q1,2025-03-31,2025-Q1,quarterly,USD,280213000000.0,90227000000.0,28750000000.0,,44566000000.0,,51550000000.0,,20654000000.0,44615000000.0,49000000.0,2171148098.0,,95184000000.0,33890000000.0,0.0,8512000000.0,,778000000.0,61294000000.0,28829000000.0,,185029000000.0,101326000000.0,-1865000000.0,28829000000.0,16644000000.0,3900000000.0,4147000000.0,24026000000.0,-12941000000.0,,6979000000.0,-20010000000.0,-751000000.0,-12754000000.0,1329000000.0,-19495000000.0,-15367000000.0,112000000.0,28750000000.0,11085000000.0,3703000000.0,42314000000.0,7572000000.0,34742000000.0,30138000000.0,5037000000.0,12150000000.0,17555000000.0,,18382000000.0,1738000000.0,,,16644000000.0,0.0,16644000000.0,6.59,6.43,0.525,2527000000.0,2590000000.0
META,2025Q2,2025-06-30,2025-Q2,quarterly,USD,294744000000.0,73613000000.0,12005000000.0,,39927000000.0,,55788000000.0,,20654000000.0,41949000000.0,2022000000.0,2168962480.0,,99674000000.0,37305000000.0,0.0,10271000000.0,,876000000.0,62369000000.0,28832000000.0,,195070000000.0,106345000000.0,229000000.0,28832000000.0,18337000000.0,4342000000.0,4834000000.0,25561000000.0,-16538000000.0,,-6527000000.0,-25958000000.0,-474000000.0,-10167000000.0,-2000000.0,-15977000000.0,-16243000000.0,131000000.0,12005000000.0,9023000000.0,-11142000000.0,47516000000.0,8491000000.0,39025000000.0,33800000000.0,5642000000.0,12942000000.0,20441000000.0,,20534000000.0,2197000000.0,,,18337000000.0,0.0,18337000000.0,7.28,7.14,0.525,2518000000.0,2570000000.0
