ticker,quarter,report_period,fiscal_period,document_kind,form_type,title,official_page_url,source_url,final_url,file_name,local_path,content_type,bytes,sha256,status,note,accession_number,filing_date
AMZN,2023Q1,2023-03-31,2023-Q1,earnings_release_html,,Earnings Release,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2023/Amazon.com-Announces-First-Quarter-Results,https://ir.aboutamazon.com/news-release/news-release-details/2023/Amazon-com-Announces-First-Quarter-Results/,AMZN_2023Q1_2023-Q1_earnings_release_html_earnings-release.html,data/hyperscaler/ir_documents/originals/AMZN/earnings_release_html/AMZN_2023Q1_2023-Q1_earnings_release_html_earnings-release.html,text/html,628991,195b7c62f9c80e7da0fb018262a7b6002ed4fcbf91af0504fd66a757063a9bc5,downloaded,,,
AMZN,2023Q1,2023-03-31,2023-Q1,sec_filing_html,10-Q,10-Q,https://data.sec.gov/submissions/CIK0001018724.json,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/amzn-20230331.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/amzn-20230331.htm,AMZN_2023Q1_2023-Q1_sec_filing_html_10-q.html,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_html/AMZN_2023Q1_2023-Q1_sec_filing_html_10-q.html,text/html,1487425,03b55e8d2de8532c4c28092e4a6a5503213bcb4e7da76154d7c1057872bce630,downloaded,,0001018724-23-000008,2023-04-28
AMZN,2023Q1,2023-03-31,2023-Q1,sec_filing_pdf,10-Q,10-Q,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://s2.q4cdn.com/299287126/files/doc_financials/2023/q1/394e4b27-bf11-4bcf-b650-2ac1b9fe2a14.pdf,https://s2.q4cdn.com/299287126/files/doc_financials/2023/q1/394e4b27-bf11-4bcf-b650-2ac1b9fe2a14.pdf,AMZN_2023Q1_2023-Q1_sec_filing_pdf_10-q.pdf,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_pdf/AMZN_2023Q1_2023-Q1_sec_filing_pdf_10-q.pdf,application/pdf,487820,99dea36a2e898f4627da3edec76702113ce60a0eb5a8350a1956a7ed5279b472,downloaded,,,
AMZN,2023Q2,2023-06-30,2023-Q2,earnings_release_html,,Earnings Release,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2023/Amazon.com-Announces-Second-Quarter-Results,https://ir.aboutamazon.com/news-release/news-release-details/2023/Amazon.com-Announces-Second-Quarter-Results/,AMZN_2023Q2_2023-Q2_earnings_release_html_earnings-release.html,data/hyperscaler/ir_documents/originals/AMZN/earnings_release_html/AMZN_2023Q2_2023-Q2_earnings_release_html_earnings-release.html,text/html,823107,0881b7f95e28e892b92309333a2b408b059e6befe87ca71e345045dd6fd51470,downloaded,,,
AMZN,2023Q2,2023-06-30,2023-Q2,sec_filing_html,10-Q,10-Q,https://data.sec.gov/submissions/CIK0001018724.json,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/amzn-20230630.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/amzn-20230630.htm,AMZN_2023Q2_2023-Q2_sec_filing_html_10-q.html,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_html/AMZN_2023Q2_2023-Q2_sec_filing_html_10-q.html,text/html,1393351,2addda4cfa76936d5692e6c0226bd511261f2e9b9a636b1ebfe66dd47dca5ddf,downloaded,,0001018724-23-000012,2023-08-04
AMZN,2023Q2,2023-06-30,2023-Q2,sec_filing_pdf,10-Q,10-Q,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://s2.q4cdn.com/299287126/files/doc_financials/2023/q2/004e15aa-5d50-4fb3-9e2f-0ad36639778f.pdf,https://s2.q4cdn.com/299287126/files/doc_financials/2023/q2/004e15aa-5d50-4fb3-9e2f-0ad36639778f.pdf,AMZN_2023Q2_2023-Q2_sec_filing_pdf_10-q.pdf,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_pdf/AMZN_2023Q2_2023-Q2_sec_filing_pdf_10-q.pdf,application/pdf,501518,2899304ff903c767b01706b841a498752cbbbfb60aab16099c2afd9e8c42bd9d,downloaded,,,
AMZN,2023Q3,2023-09-30,2023-Q3,earnings_release_html,,Earnings Release,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2023/Amazon.com-Announces-Third-Quarter-Results,https://ir.aboutamazon.com/news-release/news-release-details/2023/Amazon-com-Announces-Third-Quarter-Results/,AMZN_2023Q3_2023-Q3_earnings_release_html_earnings-release.html,data/hyperscaler/ir_documents/originals/AMZN/earnings_release_html/AMZN_2023Q3_2023-Q3_earnings_release_html_earnings-release.html,text/html,825121,6a40c02a2a683d9a2ddf383158170ffcc41203d4c35890e2f16b997377f6caa5,downloaded,,,
AMZN,2023Q3,2023-09-30,2023-Q3,sec_filing_html,10-Q,10-Q,https://data.sec.gov/submissions/CIK0001018724.json,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/amzn-20230930.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/amzn-20230930.htm,AMZN_2023Q3_2023-Q3_sec_filing_html_10-q.html,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_html/AMZN_2023Q3_2023-Q3_sec_filing_html_10-q.html,text/html,1390256,ba3f5e5434bdd76a227824e91a07ce7483bd1146aeb1dbed910aa6fe908ff095,downloaded,,0001018724-23-000018,2023-10-27
AMZN,2023Q3,2023-09-30,2023-Q3,sec_filing_pdf,10-Q,10-Q,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://s2.q4cdn.com/299287126/files/doc_financials/2023/q3/64aef25f-17ea-4c46-985a-814cb89f6182.pdf,https://s2.q4cdn.com/299287126/files/doc_financials/2023/q3/64aef25f-17ea-4c46-985a-814cb89f6182.pdf,AMZN_2023Q3_2023-Q3_sec_filing_pdf_10-q.pdf,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_pdf/AMZN_2023Q3_2023-Q3_sec_filing_pdf_10-q.pdf,application/pdf,508272,07a751b31d42d87650797b51d2d664d74b0b6252945827e5dd7d1053dda92f3a,downloaded,,,
AMZN,2023Q4,2023-12-31,2023-Q4,earnings_release_html,,Earnings Release,https://ir.aboutamazon.com/quarterly-results/default.aspx,https://ir.aboutamazon.com/news-release/news-release-details/2024/Amazon.com-Announces-Fourth-Quarter-Results,https://ir.aboutamazon.com/news-release/news-release-details/2024/Amazon-com-Announces-Fourth-Quarter-Results/,AMZN_2023Q4_2023-Q4_earnings_release_html_earnings-release.html,data/hyperscaler/ir_documents/originals/AMZN/earnings_release_html/AMZN_2023Q4_2023-Q4_earnings_release_html_earnings-release.html,text/html,815139,1c5f7f53901b1e899aed88167581fe27dd34609146abd76084c0c382dcfcb9cd,downloaded,,,
AMZN,2023Q4,2023-12-31,2023-Q4,sec_filing_html,10-K,10-K,https://data.sec.gov/submissions/CIK0001018724.json,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,AMZN_2023Q4_2023-Q4_sec_filing_html_10-k.html,data/hyperscaler/ir_documents/originals/AMZN/sec_filing_html/AMZN_2023Q4_2023-Q4_sec_filing_html_10-k.html,text/html,1945178,a469a0feca6dd5728b10c73076c2c120db58116938614c5b1b864fe13674266d,downloaded,,0001018724-24-000008,2024-02-02
