quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,-5644000000.0,-3973000000.0,-6000000000.0,-2981000000.0,
2023Q2,-6343000000.0,-3680000000.0,-5991000000.0,-3106000000.0,-1522000000.0
2023Q3,-6937000000.0,-5003000000.0,-7036000000.0,-3556000000.0,-1497000000.0
2023Q4,-4949000000.0,-3040000000.0,-4402000000.0,-2155000000.0,-1427000000.0
2024Q1,-5435000000.0,-3598000000.0,-4839000000.0,-2655000000.0,-1466000000.0
2024Q2,-5590000000.0,-3993000000.0,-5012000000.0,-2695000000.0,-1432000000.0
2024Q3,-4182000000.0,-1918000000.0,-3228000000.0,-1192000000.0,-1328000000.0
2024Q4,-5616000000.0,-34000000.0,-4800000000.0,-3097000000.0,-1519000000.0
2025Q1,-4833000000.0,-914000000.0,-4086000000.0,-1865000000.0,-1593000000.0
2025Q2,-3347000000.0,2420000000.0,-2127000000.0,229000000.0,-1175000000.0
2025Q3,-2761000000.0,12333000000.0,-2054000000.0,159000000.0,-1170000000.0
2025Q4,-2702000000.0,28230000000.0,-1916000000.0,271000000.0,-1271000000.0
2026Q1,-3228000000.0,24868000000.0,-2180000000.0,-303000000.0,-1277000000.0
