quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,-301000000.0,3513000000.0,,,
2023Q2,-341000000.0,316000000.0,,,0.0
2023Q3,-1186000000.0,,,,0.0
2023Q4,-65029000000.0,-381000000.0,-29000000.0,-64000000.0,-59000000.0
2024Q1,-1575000000.0,3354000000.0,,,0.0
2024Q2,-1342000000.0,571000000.0,,,-4000000.0
2024Q3,-1849000000.0,622000000.0,,,0.0
2024Q4,-1405000000.0,-2535000000.0,-91000000.0,-9000000.0,0.0
2025Q1,-981000000.0,-48000000.0,,,0.0
2025Q2,-1743000000.0,1700000000.0,,,0.0
2025Q3,-578000000.0,786000000.0,,,0.0
2025Q4,-455000000.0,-1403000000.0,-167000000.0,-1497000000.0,0.0
2026Q1,-258000000.0,15408000000.0,-33621000000.0,,0.0
