quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,-6607000000.0,-14207000000.0,-6289000000.0,-6842000000.0,
2023Q2,-8943000000.0,-11455000000.0,-6888000000.0,-6216000000.0,-1913000000.0
2023Q3,-9917000000.0,-12479000000.0,-8055000000.0,-6543000000.0,-1314000000.0
2023Q4,-9735000000.0,-14588000000.0,-11019000000.0,-7665000000.0,-1080000000.0
2024Q1,-10952000000.0,-14925000000.0,-12012000000.0,-6400000000.0,-1674000000.0
2024Q2,-13873000000.0,-17620000000.0,-13186000000.0,-8173000000.0,-2798000000.0
2024Q3,-14923000000.0,-22620000000.0,-13061000000.0,-8258000000.0,-2303000000.0
2024Q4,-15804000000.0,-27834000000.0,-14276000000.0,-14425000000.0,-3970000000.0
2025Q1,-16745000000.0,-25019000000.0,-17197000000.0,-12941000000.0,-5862000000.0
2025Q2,-17079000000.0,-32183000000.0,-22446000000.0,-16538000000.0,-9080000000.0
2025Q3,-19394000000.0,-35095000000.0,-23953000000.0,-18829000000.0,-8502000000.0
2025Q4,-29876000000.0,-39522000000.0,-27851000000.0,-21383000000.0,-12033000000.0
2026Q1,-30876000000.0,-44203000000.0,-35674000000.0,-18997000000.0,-18635000000.0
