quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,26562000000.0,49343000000.0,25924000000.0,11551000000.0,
2023Q2,34704000000.0,49529000000.0,25929000000.0,28785000000.0,9765000000.0
2023Q3,80452000000.0,49605000000.0,30702000000.0,36890000000.0,11613000000.0
2023Q4,17305000000.0,73387000000.0,24048000000.0,41862000000.0,8244000000.0
2024Q1,19634000000.0,72852000000.0,24493000000.0,32307000000.0,9481000000.0
2024Q2,18315000000.0,71178000000.0,27225000000.0,32045000000.0,10454000000.0
2024Q3,20840000000.0,75091000000.0,19959000000.0,43852000000.0,10616000000.0
2024Q4,17482000000.0,78779000000.0,23466000000.0,43889000000.0,10941000000.0
2025Q1,28828000000.0,66207000000.0,23264000000.0,28750000000.0,17406000000.0
2025Q2,30242000000.0,57741000000.0,21036000000.0,12005000000.0,10786000000.0
2025Q3,28849000000.0,66922000000.0,23090000000.0,10187000000.0,10445000000.0
2025Q4,24296000000.0,86810000000.0,30708000000.0,35873000000.0,19241000000.0
2026Q1,32105000000.0,101816000000.0,38063000000.0,23426000000.0,38455000000.0
