quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,10916000000.0,-4519000000.0,4045000000.0,-3176000000.0,
2023Q2,8142000000.0,333000000.0,5000000.0,17384000000.0,1546000000.0
2023Q3,45748000000.0,14000000.0,4773000000.0,8096000000.0,1848000000.0
2023Q4,-63147000000.0,23809000000.0,-6654000000.0,4927000000.0,-3369000000.0
2024Q1,2329000000.0,-558000000.0,445000000.0,-9543000000.0,1237000000.0
2024Q2,-1319000000.0,-1659000000.0,2732000000.0,-258000000.0,973000000.0
2024Q3,2525000000.0,7004000000.0,-7266000000.0,12101000000.0,162000000.0
2024Q4,-3358000000.0,3635000000.0,3507000000.0,311000000.0,325000000.0
2025Q1,11346000000.0,-12419000000.0,-202000000.0,-15367000000.0,6465000000.0
2025Q2,1414000000.0,-8440000000.0,-2228000000.0,-16243000000.0,-6620000000.0
2025Q3,-1393000000.0,9011000000.0,2054000000.0,-1887000000.0,-341000000.0
2025Q4,-4553000000.0,19642000000.0,7618000000.0,27159000000.0,8796000000.0
2026Q1,7809000000.0,14586000000.0,7355000000.0,-7998000000.0,19214000000.0
