quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,18299000000.0,3172000000.0,15051000000.0,5709000000.0,
2023Q2,20081000000.0,6750000000.0,18368000000.0,7788000000.0,3319000000.0
2023Q3,22291000000.0,9879000000.0,19689000000.0,11583000000.0,2420000000.0
2023Q4,21870000000.0,10624000000.0,20687000000.0,14017000000.0,2503000000.0
2024Q1,21939000000.0,10431000000.0,23662000000.0,12369000000.0,2401000000.0
2024Q2,22036000000.0,13485000000.0,23619000000.0,13465000000.0,3143000000.0
2024Q3,24667000000.0,15328000000.0,26301000000.0,15688000000.0,2929000000.0
2024Q4,24108000000.0,20004000000.0,26536000000.0,20838000000.0,3151000000.0
2025Q1,25824000000.0,17127000000.0,34540000000.0,16644000000.0,2936000000.0
2025Q2,27233000000.0,18164000000.0,28196000000.0,18337000000.0,3427000000.0
2025Q3,27747000000.0,21187000000.0,34979000000.0,2709000000.0,2927000000.0
2025Q4,38458000000.0,21192000000.0,34455000000.0,22768000000.0,6135000000.0
2026Q1,31778000000.0,30255000000.0,62578000000.0,26773000000.0,3721000000.0
