quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,16128000000.0,67791000000.0,30612000000.0,6108000000.0,
2023Q2,16795000000.0,69373000000.0,31916000000.0,5945000000.0,3730000000.0
2023Q3,16302000000.0,75022000000.0,33229000000.0,6210000000.0,3610000000.0
2023Q4,19623000000.0,92553000000.0,37575000000.0,7695000000.0,3740000000.0
2024Q1,18505000000.0,72633000000.0,33712000000.0,6640000000.0,3869000000.0
2024Q2,19684000000.0,73785000000.0,35507000000.0,7308000000.0,3923000000.0
2024Q3,20099000000.0,80977000000.0,36474000000.0,7375000000.0,3906000000.0
2024Q4,21799000000.0,98893000000.0,40613000000.0,8839000000.0,4085000000.0
2025Q1,21919000000.0,76976000000.0,36361000000.0,7572000000.0,4195000000.0
2025Q2,24014000000.0,80809000000.0,39039000000.0,8491000000.0,4740000000.0
2025Q3,24043000000.0,88670000000.0,41369000000.0,9206000000.0,4884000000.0
2025Q4,25978000000.0,109959000000.0,45767000000.0,10906000000.0,5374000000.0
2026Q1,26828000000.0,87463000000.0,41271000000.0,10218000000.0,6092000000.0
