quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,163889000000.0,136221000000.0,161985000000.0,52483000000.0,
2023Q2,184257000000.0,140482000000.0,168788000000.0,69560000000.0,21004000000.0
2023Q3,207586000000.0,142995000000.0,176310000000.0,78378000000.0,22166000000.0
2023Q4,147393000000.0,172351000000.0,171530000000.0,85365000000.0,19289000000.0
2024Q1,147180000000.0,163989000000.0,165471000000.0,75330000000.0,21063000000.0
2024Q2,159734000000.0,173307000000.0,161995000000.0,76431000000.0,22554000000.0
2024Q3,149926000000.0,175792000000.0,157541000000.0,91067000000.0,23072000000.0
2024Q4,147080000000.0,190867000000.0,163711000000.0,100045000000.0,23503000000.0
2025Q1,156644000000.0,184645000000.0,162052000000.0,90227000000.0,30116000000.0
2025Q2,191131000000.0,191420000000.0,166216000000.0,73613000000.0,24579000000.0
2025Q3,189066000000.0,196866000000.0,173947000000.0,73118000000.0,24634000000.0
2025Q4,180190000000.0,229083000000.0,206038000000.0,108722000000.0,34366000000.0
2026Q1,175329000000.0,255155000000.0,213753000000.0,109765000000.0,54874000000.0
