quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,6245000000.0,6776000000.0,1371000000.0,114000000.0,
2023Q2,5247000000.0,8121000000.0,1317000000.0,181000000.0,4061000000.0
2023Q3,3748000000.0,8546000000.0,1400000000.0,85000000.0,4499000000.0
2023Q4,2250000000.0,10526000000.0,1363000000.0,90000000.0,6321000000.0
2024Q1,2249000000.0,10524000000.0,317000000.0,0.0,5510000000.0
2024Q2,2249000000.0,8944000000.0,918000000.0,0.0,10605000000.0
2024Q3,2249000000.0,6729000000.0,2367000000.0,0.0,9201000000.0
2024Q4,5248000000.0,6543000000.0,1234000000.0,76000000.0,8162000000.0
2025Q1,2999000000.0,6449000000.0,1100000000.0,0.0,8167000000.0
2025Q2,2999000000.0,6554000000.0,1100000000.0,0.0,7271000000.0
2025Q3,7832000000.0,5665000000.0,2333000000.0,0.0,9079000000.0
2025Q4,4837000000.0,4747000000.0,2437000000.0,308000000.0,8091000000.0
2026Q1,8839000000.0,4562000000.0,2175000000.0,0.0,9887000000.0
