quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,77865000000.0,15062000000.0,94320000000.0,25913000000.0,
2023Q2,76558000000.0,14441000000.0,97698000000.0,24686000000.0,422000000.0
2023Q3,63499000000.0,14564000000.0,94206000000.0,24258000000.0,470000000.0
2023Q4,63712000000.0,13393000000.0,86868000000.0,23541000000.0,446000000.0
2024Q1,60387000000.0,12222000000.0,89250000000.0,25813000000.0,423000000.0
2024Q2,57228000000.0,17914000000.0,78735000000.0,26035000000.0,207000000.0
2024Q3,57588000000.0,12960000000.0,78748000000.0,27048000000.0,295000000.0
2024Q4,54073000000.0,22423000000.0,72191000000.0,33926000000.0,370000000.0
2025Q1,50790000000.0,28358000000.0,77238000000.0,44566000000.0,417000000.0
2025Q2,64323000000.0,35439000000.0,80087000000.0,39927000000.0,417000000.0
2025Q3,73163000000.0,27275000000.0,82499000000.0,40389000000.0,560000000.0
2025Q4,65166000000.0,36219000000.0,96135000000.0,45719000000.0,525000000.0
2026Q1,46167000000.0,41273000000.0,88777000000.0,62077000000.0,677000000.0
