quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,85691000000.0,147570000000.0,68854000000.0,25381000000.0,
2023Q2,104149000000.0,148238000000.0,77709000000.0,29921000000.0,23090000000.0
2023Q3,124792000000.0,145214000000.0,86295000000.0,30531000000.0,25357000000.0
2023Q4,121016000000.0,164917000000.0,81814000000.0,31960000000.0,24407000000.0
2024Q1,118525000000.0,152965000000.0,76997000000.0,28101000000.0,24885000000.0
2024Q2,125286000000.0,158172000000.0,77913000000.0,27004000000.0,31544000000.0
2024Q3,115200000000.0,161477000000.0,80803000000.0,33330000000.0,32045000000.0
2024Q4,108882000000.0,179431000000.0,89122000000.0,33596000000.0,29052000000.0
2025Q1,114206000000.0,176171000000.0,91654000000.0,33890000000.0,29623000000.0
2025Q2,141218000000.0,186921000000.0,87310000000.0,37305000000.0,32643000000.0
2025Q3,134996000000.0,195196000000.0,99550000000.0,36958000000.0,39874000000.0
2025Q4,130005000000.0,218005000000.0,102745000000.0,41836000000.0,37795000000.0
2026Q1,136661000000.0,216756000000.0,111188000000.0,46753000000.0,40737000000.0
