quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,36903000000.0,14281000000.0,3715000000.0,460000000.0,
2023Q2,50901000000.0,14522000000.0,3846000000.0,494000000.0,8970000000.0
2023Q3,46429000000.0,14398000000.0,4303000000.0,509000000.0,11120000000.0
2023Q4,43068000000.0,15227000000.0,13013000000.0,0.0,8878000000.0
2024Q1,41888000000.0,15927000000.0,3973000000.0,599000000.0,8931000000.0
2024Q2,57582000000.0,16004000000.0,4251000000.0,637000000.0,9313000000.0
2024Q3,53026000000.0,16305000000.0,4896000000.0,704000000.0,11455000000.0
2024Q4,45508000000.0,18103000000.0,14838000000.0,0.0,9430000000.0
2025Q1,44636000000.0,20599000000.0,4908000000.0,,9019000000.0
2025Q2,64555000000.0,21662000000.0,4969000000.0,,9387000000.0
2025Q3,58987000000.0,21113000000.0,5542000000.0,,12098000000.0
2025Q4,51376000000.0,20576000000.0,17442000000.0,0.0,9940000000.0
2026Q1,50924000000.0,20887000000.0,17370000000.0,,9881000000.0
