quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,39601000000.0,16100000000.0,4500000000.0,492000000.0,
2023Q2,53813000000.0,16100000000.0,4500000000.0,520000000.0,0.0
2023Q3,49188000000.0,16100000000.0,4500000000.0,526000000.0,12266000000.0
2023Q4,46034000000.0,0.0,0.0,0.0,10129000000.0
2024Q1,44833000000.0,20900000000.0,5000000000.0,645000000.0,10196000000.0
2024Q2,60184000000.0,20900000000.0,5000000000.0,675000000.0,0.0
2024Q3,55689000000.0,20900000000.0,5000000000.0,732000000.0,12884000000.0
2024Q4,48045000000.0,0.0,0.0,0.0,10826000000.0
2025Q1,47476000000.0,24600000000.0,6600000000.0,778000000.0,10368000000.0
2025Q2,67265000000.0,24600000000.0,6800000000.0,876000000.0,0.0
2025Q3,61533000000.0,24600000000.0,7400000000.0,924000000.0,13362000000.0
2025Q4,54044000000.0,0.0,0.0,0.0,11175000000.0
2026Q1,53677000000.0,25000000000.0,0.0,1120000000.0,11182000000.0
