quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,960000000.0,11123000000.0,,2524000000.0,
2023Q2,3874000000.0,11589000000.0,,2623000000.0,1586000000.0
2023Q3,1016000000.0,12131000000.0,,2859000000.0,1475000000.0
2023Q4,1708000000.0,13820000000.0,3316000000.0,3172000000.0,1553000000.0
2024Q1,1853000000.0,11684000000.0,3413000000.0,3374000000.0,1557000000.0
2024Q2,6380000000.0,12038000000.0,3708000000.0,3637000000.0,1554000000.0
2024Q3,2096000000.0,13442000000.0,3985000000.0,4027000000.0,1428000000.0
2024Q4,2330000000.0,15631000000.0,4205000000.0,4460000000.0,1499000000.0
2025Q1,2400000000.0,14262000000.0,4583000000.0,3900000000.0,1551000000.0
2025Q2,11203000000.0,15227000000.0,5014000000.0,4342000000.0,1696000000.0
2025Q3,9773000000.0,16796000000.0,5651000000.0,4963000000.0,1771000000.0
2025Q4,10377000000.0,19471000000.0,6040000000.0,5411000000.0,2110000000.0
2026Q1,11506000000.0,18945000000.0,6482000000.0,5999000000.0,2566000000.0
