quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,-5059000000.0,,,,
2023Q2,-5054000000.0,,,,-1082000000.0
2023Q3,-5051000000.0,,,,-1091000000.0
2023Q4,-5574000000.0,0.0,0.0,0.0,-1099000000.0
2024Q1,-5572000000.0,,,1273000000.0,-1099000000.0
2024Q2,-5574000000.0,,2466000000.0,-7000000.0,-1102000000.0
2024Q3,-5574000000.0,,2455000000.0,-3000000.0,-1103000000.0
2024Q4,-6170000000.0,0.0,-2442000000.0,-1270000000.0,-1118000000.0
2025Q1,-6169000000.0,,2434000000.0,1329000000.0,-1119000000.0
2025Q2,-6169000000.0,,2543000000.0,-2000000.0,-1403000000.0
2025Q3,-6169000000.0,,2536000000.0,3000000.0,-1413000000.0
2025Q4,-6762000000.0,0.0,-2536000000.0,-1338000000.0,-1435000000.0
2026Q1,-6756000000.0,,-2542000000.0,1346000000.0,-1437000000.0
