quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,22805000000.0,4200000000.0,18205000000.0,7361000000.0,
2023Q2,25209000000.0,7630000000.0,21903000000.0,9408000000.0,4064000000.0
2023Q3,27433000000.0,12259000000.0,21197000000.0,14157000000.0,2375000000.0
2023Q4,26694000000.0,14399000000.0,24481000000.0,16807000000.0,2720000000.0
2024Q1,26917000000.0,12971000000.0,28315000000.0,14183000000.0,2865000000.0
2024Q2,27951000000.0,15841000000.0,27618000000.0,15106000000.0,4660000000.0
2024Q3,30851000000.0,18637000000.0,31760000000.0,18022000000.0,3169000000.0
2024Q4,29959000000.0,22899000000.0,32296000000.0,23552000000.0,3390000000.0
2025Q1,31971000000.0,22221000000.0,41823000000.0,18382000000.0,3448000000.0
2025Q2,33231000000.0,21358000000.0,34194000000.0,20534000000.0,5130000000.0
2025Q3,34999000000.0,28635000000.0,44130000000.0,21663000000.0,3475000000.0
2025Q4,48982000000.0,26817000000.0,39415000000.0,25354000000.0,6401000000.0
2026Q1,40118000000.0,40615000000.0,77412000000.0,21752000000.0,4493000000.0
