quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,29000000.0,145000000.0,50000000.0,85000000.0,
2023Q2,-81000000.0,69000000.0,-26000000.0,-14000000.0,-49000000.0
2023Q3,-99000000.0,-502000000.0,-351000000.0,-354000000.0,-36000000.0
2023Q4,72000000.0,691000000.0,-94000000.0,396000000.0,26000000.0
2024Q1,-80000000.0,-429000000.0,-125000000.0,-288000000.0,8000000.0
2024Q2,-103000000.0,-312000000.0,-238000000.0,-152000000.0,-68000000.0
2024Q3,122000000.0,690000000.0,141000000.0,368000000.0,85000000.0
2024Q4,-294000000.0,-1250000000.0,-390000000.0,-714000000.0,-129000000.0
2025Q1,52000000.0,416000000.0,43000000.0,112000000.0,-51000000.0
2025Q2,183000000.0,1008000000.0,401000000.0,131000000.0,219000000.0
2025Q3,-92000000.0,-397000000.0,-200000000.0,9000000.0,27000000.0
2025Q4,11000000.0,137000000.0,-36000000.0,-17000000.0,-43000000.0
2026Q1,-114000000.0,-1000000.0,-123000000.0,7000000.0,109000000.0
