quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,17834000000.0,-9419000000.0,17220000000.0,7156000000.0,
2023Q2,19827000000.0,5021000000.0,21778000000.0,11093000000.0,3734000000.0
2023Q3,20666000000.0,8738000000.0,22601000000.0,13859000000.0,5660000000.0
2023Q4,9118000000.0,27877000000.0,7896000000.0,11739000000.0,-937000000.0
2024Q1,20965000000.0,4064000000.0,16836000000.0,12846000000.0,3801000000.0
2024Q2,23322000000.0,7661000000.0,13454000000.0,11197000000.0,3283000000.0
2024Q3,19257000000.0,3351000000.0,17637000000.0,16466000000.0,5124000000.0
2024Q4,6487000000.0,17802000000.0,24837000000.0,13563000000.0,-2666000000.0
2025Q1,20299000000.0,-8004000000.0,18953000000.0,11085000000.0,71000000.0
2025Q2,25568000000.0,332000000.0,5301000000.0,9023000000.0,-2923000000.0
2025Q3,25663000000.0,430000000.0,24461000000.0,11170000000.0,-362000000.0
2025Q4,5882000000.0,14937000000.0,24551000000.0,14831000000.0,-9967000000.0
2026Q1,15803000000.0,-18171000000.0,10116000000.0,13229000000.0,-11484000000.0
