quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,11692000000.0,3172000000.0,,-1133000000.0,
2023Q2,19827000000.0,6750000000.0,,-5270000000.0,3734000000.0
2023Q3,12374000000.0,9879000000.0,,-8018000000.0,1106000000.0
2023Q4,12135000000.0,29112000000.0,7896000000.0,11812000000.0,109000000.0
2024Q1,10987000000.0,10431000000.0,,5969000000.0,-1667000000.0
2024Q2,23322000000.0,13485000000.0,,-1108000000.0,3283000000.0
2024Q3,9744000000.0,15328000000.0,,-7143000000.0,626000000.0
2024Q4,8304000000.0,19584000000.0,24837000000.0,13563000000.0,-3122000000.0
2025Q1,9079000000.0,17127000000.0,,3703000000.0,-9199000000.0
2025Q2,25568000000.0,18164000000.0,,-11142000000.0,-2923000000.0
2025Q3,8353000000.0,21187000000.0,,-45599000000.0,-5575000000.0
2025Q4,8582000000.0,15990000000.0,24551000000.0,14831000000.0,-14400000000.0
2026Q1,,,10116000000.0,,-35449000000.0
