quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,77819000000.0,22749000000.0,30962000000.0,21598000000.0,
2023Q2,77252000000.0,22785000000.0,31176000000.0,21515000000.0,72098000000.0
2023Q3,76685000000.0,22749000000.0,30979000000.0,21481000000.0,71280000000.0
2023Q4,148827000000.0,22789000000.0,29198000000.0,20654000000.0,70609000000.0
2024Q1,147991000000.0,22770000000.0,29183000000.0,21483000000.0,69851000000.0
2024Q2,146817000000.0,22879000000.0,29185000000.0,21638000000.0,69120000000.0
2024Q3,146125000000.0,23081000000.0,31935000000.0,21627000000.0,68519000000.0
2024Q4,144576000000.0,23074000000.0,31885000000.0,20654000000.0,67883000000.0
2025Q1,143297000000.0,23089000000.0,32173000000.0,20654000000.0,67302000000.0
2025Q2,142113000000.0,23155000000.0,32335000000.0,20654000000.0,66794000000.0
2025Q3,140733000000.0,23260000000.0,33269000000.0,24337000000.0,66378000000.0
2025Q4,139911000000.0,23273000000.0,33380000000.0,24534000000.0,65967000000.0
2026Q1,138986000000.0,23449000000.0,67218000000.0,24748000000.0,65915000000.0
