quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,36729000000.0,59567000000.0,39175000000.0,22537000000.0,
2023Q2,39394000000.0,65010000000.0,42688000000.0,26054000000.0,10106000000.0
2023Q3,40215000000.0,68061000000.0,43464000000.0,27936000000.0,
2023Q4,42397000000.0,77408000000.0,48735000000.0,32416000000.0,
2024Q1,43353000000.0,70680000000.0,46827000000.0,29815000000.0,
2024Q2,45043000000.0,74192000000.0,49235000000.0,31763000000.0,10363000000.0
2024Q3,45486000000.0,77900000000.0,51794000000.0,33214000000.0,
2024Q4,47833000000.0,88899000000.0,55856000000.0,39546000000.0,
2025Q1,48147000000.0,78691000000.0,53873000000.0,34742000000.0,
2025Q2,52427000000.0,86893000000.0,57389000000.0,39025000000.0,11162000000.0
2025Q3,53630000000.0,91499000000.0,60977000000.0,42036000000.0,
2025Q4,55295000000.0,103427000000.0,68062000000.0,48987000000.0,
2026Q1,56058000000.0,94056000000.0,68625000000.0,46093000000.0,
