quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,4374000000.0,948000000.0,3154000000.0,1598000000.0,
2023Q2,4646000000.0,804000000.0,3535000000.0,1505000000.0,-210000000.0
2023Q3,4993000000.0,2306000000.0,1508000000.0,2437000000.0,-45000000.0
2023Q4,4656000000.0,3062000000.0,3725000000.0,2790000000.0,217000000.0
2024Q1,4788000000.0,2467000000.0,4653000000.0,1814000000.0,464000000.0
2024Q2,5214000000.0,1767000000.0,3932000000.0,1641000000.0,639000000.0
2024Q3,5602000000.0,2706000000.0,5405000000.0,2134000000.0,240000000.0
2024Q4,5257000000.0,2325000000.0,5707000000.0,2714000000.0,239000000.0
2025Q1,5553000000.0,4553000000.0,7249000000.0,1738000000.0,512000000.0
2025Q2,5383000000.0,2678000000.0,5737000000.0,2197000000.0,724000000.0
2025Q3,6554000000.0,6910000000.0,9008000000.0,18954000000.0,500000000.0
2025Q4,9788000000.0,4946000000.0,4662000000.0,2586000000.0,207000000.0
2026Q1,7562000000.0,9560000000.0,14834000000.0,-5021000000.0,695000000.0
