quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,2877000000.0,34170000000.0,2315000000.0,,
2023Q2,2500000000.0,36587000000.0,2231000000.0,,0.0
2023Q3,3000000000.0,35406000000.0,2957000000.0,,
2023Q4,1615000000.0,33318000000.0,0.0,0.0,
2024Q1,1304000000.0,31147000000.0,,,
2024Q2,1246000000.0,34109000000.0,,,0.0
2024Q3,1626000000.0,36103000000.0,,,
2024Q4,909000000.0,34214000000.0,0.0,0.0,
2025Q1,848000000.0,35864000000.0,,,
2025Q2,938000000.0,40825000000.0,,,0.0
2025Q3,1130000000.0,41494000000.0,,,
2025Q4,1059000000.0,38325000000.0,0.0,0.0,
2026Q1,1219000000.0,36534000000.0,0.0,,
