quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,5330000000.0,-777000000.0,-3510000000.0,-449000000.0,
2023Q2,419000000.0,-1055000000.0,3382000000.0,-1099000000.0,301000000.0
2023Q3,12588000000.0,-1174000000.0,-1659000000.0,-467000000.0,-248000000.0
2023Q4,1492000000.0,1133000000.0,4947000000.0,1186000000.0,-110000000.0
2024Q1,3108000000.0,573000000.0,-3408000000.0,2262000000.0,-109000000.0
2024Q2,749000000.0,5174000000.0,-10564000000.0,56000000.0,36000000.0
2024Q3,2484000000.0,-5001000000.0,-271000000.0,354000000.0,-462000000.0
2024Q4,3113000000.0,-8856000000.0,-1646000000.0,-7082000000.0,182000000.0
2025Q1,4408000000.0,6896000000.0,-1193000000.0,6979000000.0,-114000000.0
2025Q2,-14392000000.0,7656000000.0,1572000000.0,-6527000000.0,-102000000.0
2025Q3,-8378000000.0,-7641000000.0,1270000000.0,-1864000000.0,-216000000.0
2025Q4,8263000000.0,-7373000000.0,-23233000000.0,-11537000000.0,4319000000.0
2026Q1,6328000000.0,13570000000.0,6902000000.0,13802000000.0,-909000000.0
