quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,91580000000.0,15062000000.0,128053000000.0,25931000000.0,
2023Q2,86437000000.0,14441000000.0,131314000000.0,24745000000.0,422000000.0
2023Q3,79422000000.0,14564000000.0,127571000000.0,24317000000.0,470000000.0
2023Q4,81879000000.0,13393000000.0,117876000000.0,29682000000.0,446000000.0
2024Q1,79994000000.0,12222000000.0,126644000000.0,25870000000.0,423000000.0
2024Q2,71828000000.0,17914000000.0,115283000000.0,26091000000.0,207000000.0
2024Q3,78166000000.0,12960000000.0,117178000000.0,27101000000.0,295000000.0
2024Q4,74554000000.0,22423000000.0,110173000000.0,39996000000.0,370000000.0
2025Q1,71725000000.0,29558000000.0,130643000000.0,44615000000.0,417000000.0
2025Q2,79728000000.0,36639000000.0,135227000000.0,41949000000.0,417000000.0
2025Q3,89628000000.0,28375000000.0,148865000000.0,45446000000.0,560000000.0
2025Q4,91668000000.0,36219000000.0,164822000000.0,73243000000.0,525000000.0
2026Q1,84950000000.0,42196000000.0,195723000000.0,70312000000.0,677000000.0
