quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,-4973000000.0,0.0,-14557000000.0,-9365000000.0,
2023Q2,-5192000000.0,0.0,-14969000000.0,-898000000.0,120000000.0
2023Q3,-4146000000.0,0.0,-15787000000.0,-3569000000.0,-902000000.0
2023Q4,-3739000000.0,0.0,-18871000000.0,-5942000000.0,-1005000000.0
2024Q1,-3691000000.0,0.0,-15696000000.0,-15008000000.0,-554000000.0
2024Q2,-3676000000.0,,-15684000000.0,-6299000000.0,-39000000.0
2024Q3,-3401000000.0,,-15291000000.0,-8818000000.0,-822000000.0
2024Q4,-4730000000.0,0.0,-18600000000.0,0.0,-69000000.0
2025Q1,-4235000000.0,,-15068000000.0,-12754000000.0,61000000.0
2025Q2,-3998000000.0,,-13638000000.0,-10167000000.0,-17000000.0
2025Q3,-4961000000.0,,-11504000000.0,-3327000000.0,1058000000.0
2025Q4,-7156000000.0,0.0,-10665000000.0,0.0,46000000.0
2026Q1,-4086000000.0,,-5483000000.0,0.0,4961000000.0
