quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,0.0,-2766000000.0,,-264000000.0,
2023Q2,-1000000000.0,-3220000000.0,,8235000000.0,-1374000000.0
2023Q3,24265000000.0,-1005000000.0,,-267000000.0,-1562000000.0
2023Q4,-633000000.0,-6746000000.0,-437000000.0,-307000000.0,-189000000.0
2024Q1,-9047000000.0,-1100000000.0,,-315000000.0,-813000000.0
2024Q2,-14010000000.0,-4707000000.0,,-299000000.0,-936000000.0
2024Q3,-6712000000.0,-2585000000.0,,9488000000.0,-7630000000.0
2024Q4,0.0,-3308000000.0,1145000000.0,-411000000.0,9767000000.0
2025Q1,-2250000000.0,336000000.0,-192000000.0,-751000000.0,7640000000.0
2025Q2,0.0,-3162000000.0,82000000.0,-474000000.0,-4181000000.0
2025Q3,0.0,-1359000000.0,18000000.0,-545000000.0,-1052000000.0
2025Q4,-3000000000.0,12291000000.0,20229000000.0,29152000000.0,17696000000.0
2026Q1,0.0,52973000000.0,29902000000.0,-843000000.0,27986000000.0
