quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,-10290000000.0,6354000000.0,-16568000000.0,-10516000000.0,
2023Q2,-11413000000.0,-6539000000.0,-17835000000.0,5292000000.0,-2440000000.0
2023Q3,14761000000.0,-8948000000.0,-18382000000.0,-5875000000.0,-3528000000.0
2023Q4,-10147000000.0,-6746000000.0,-19308000000.0,-8401000000.0,-2289000000.0
2024Q1,-18808000000.0,-1256000000.0,-19714000000.0,-19767000000.0,-2463000000.0
2024Q2,-23563000000.0,-4490000000.0,-20889000000.0,-11178000000.0,-2274000000.0
2024Q3,-16576000000.0,-2758000000.0,-20094000000.0,-4371000000.0,-4585000000.0
2024Q4,-11243000000.0,-3308000000.0,-19036000000.0,-5465000000.0,2938000000.0
2025Q1,-13036000000.0,-47000000.0,-20201000000.0,-19495000000.0,6559000000.0
2025Q2,-10844000000.0,-2539000000.0,-5832000000.0,-15977000000.0,-3814000000.0
2025Q3,-11799000000.0,-44000000.0,-18383000000.0,-10047000000.0,210000000.0
2025Q4,-17617000000.0,12291000000.0,7028000000.0,25149000000.0,14487000000.0
2026Q1,-11351000000.0,52767000000.0,25077000000.0,-6553000000.0,31498000000.0
