quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,-3264000000.0,-15806000000.0,-2946000000.0,-6743000000.0,
2023Q2,-9134000000.0,-9673000000.0,-10800000000.0,-5203000000.0,-1612000000.0
2023Q3,503000000.0,-11753000000.0,-7150000000.0,-6077000000.0,-1562000000.0
2023Q4,-71925000000.0,-12601000000.0,-6167000000.0,-6472000000.0,-1249000000.0
2024Q1,-10700000000.0,-17862000000.0,-8564000000.0,-8734000000.0,-1783000000.0
2024Q2,-14848000000.0,-22138000000.0,-2781000000.0,-8298000000.0,-2766000000.0
2024Q3,-15201000000.0,-16899000000.0,-18011000000.0,-8620000000.0,-2765000000.0
2024Q4,-14112000000.0,-37443000000.0,-16180000000.0,-21498000000.0,-3788000000.0
2025Q1,-12714000000.0,-29803000000.0,-16194000000.0,-20010000000.0,-5976000000.0
2025Q2,-30572000000.0,-39424000000.0,-24544000000.0,-25958000000.0,-9182000000.0
2025Q3,-34559000000.0,-26073000000.0,-27777000000.0,-21848000000.0,-8718000000.0
2025Q4,-22705000000.0,-47245000000.0,-51776000000.0,-34187000000.0,-7714000000.0
2026Q1,-27405000000.0,-64212000000.0,-63389000000.0,-33678000000.0,-19544000000.0
