quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,216199000000.0,137417000000.0,92466000000.0,41703000000.0,
2023Q2,227719000000.0,143356000000.0,95440000000.0,43030000000.0,113380000000.0
2023Q3,238199000000.0,147431000000.0,97154000000.0,40041000000.0,114496000000.0
2023Q4,323165000000.0,355503000000.0,230862000000.0,144258000000.0,115035000000.0
2024Q1,337095000000.0,157036000000.0,245279000000.0,43274000000.0,116019000000.0
2024Q2,352429000000.0,160798000000.0,255151000000.0,45681000000.0,118422000000.0
2024Q3,373087000000.0,174170000000.0,274978000000.0,49319000000.0,121142000000.0
2024Q4,386818000000.0,434027000000.0,286545000000.0,176009000000.0,124980000000.0
2025Q1,405980000000.0,190351000000.0,318792000000.0,51550000000.0,131262000000.0
2025Q2,427872000000.0,197690000000.0,138373000000.0,55788000000.0,143782000000.0
2025Q3,447285000000.0,210960000000.0,144878000000.0,55230000000.0,155815000000.0
2025Q4,485112000000.0,588959000000.0,389243000000.0,257299000000.0,170618000000.0
2026Q1,518899000000.0,267486000000.0,490166000000.0,77870000000.0,190366000000.0
