quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,41965000000.0,77855000000.0,0.0,10498000000.0,
2023Q2,41990000000.0,73526000000.0,0.0,18961000000.0,86420000000.0
2023Q3,41946000000.0,71179000000.0,0.0,18957000000.0,84442000000.0
2023Q4,44928000000.0,68391000000.0,0.0,18985000000.0,82468000000.0
2024Q1,42658000000.0,67248000000.0,0.0,18387000000.0,82470000000.0
2024Q2,42688000000.0,64277000000.0,0.0,18389000000.0,76264000000.0
2024Q3,42868000000.0,64316000000.0,0.0,28823000000.0,75314000000.0
2024Q4,39722000000.0,61850000000.0,12325000000.0,29459000000.0,80462000000.0
2025Q1,39882000000.0,62398000000.0,12847000000.0,28829000000.0,88109000000.0
2025Q2,40152000000.0,60545000000.0,25609000000.0,28832000000.0,85297000000.0
2025Q3,35376000000.0,61059000000.0,23657000000.0,28834000000.0,82236000000.0
2025Q4,35425000000.0,76390000000.0,48606000000.0,59620000000.0,99984000000.0
2026Q1,31423000000.0,130821000000.0,79538000000.0,58748000000.0,124718000000.0
