quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,13715000000.0,,33733000000.0,18000000.0,
2023Q2,9879000000.0,,33616000000.0,59000000.0,0.0
2023Q3,15923000000.0,,33365000000.0,59000000.0,
2023Q4,18167000000.0,0.0,31008000000.0,6141000000.0,
2024Q1,19607000000.0,,37394000000.0,57000000.0,
2024Q2,14600000000.0,,36548000000.0,56000000.0,0.0
2024Q3,20578000000.0,,38430000000.0,53000000.0,
2024Q4,20481000000.0,0.0,37982000000.0,6070000000.0,
2025Q1,20935000000.0,1200000000.0,53405000000.0,49000000.0,
2025Q2,15405000000.0,1200000000.0,55140000000.0,2022000000.0,0.0
2025Q3,16465000000.0,1100000000.0,66366000000.0,5057000000.0,
2025Q4,26502000000.0,0.0,68687000000.0,27524000000.0,
2026Q1,38783000000.0,923000000.0,106946000000.0,8235000000.0,
