quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,99714000000.0,165082000000.0,39743000000.0,41834000000.0,
2023Q2,101604000000.0,163467000000.0,38194000000.0,49883000000.0,109738000000.0
2023Q3,100279000000.0,161396000000.0,37214000000.0,50276000000.0,108464000000.0
2023Q4,111274000000.0,161062000000.0,37199000000.0,44495000000.0,105539000000.0
2024Q1,112598000000.0,167743000000.0,37509000000.0,45214000000.0,106015000000.0
2024Q2,118400000000.0,166899000000.0,36104000000.0,46471000000.0,100193000000.0
2024Q3,120090000000.0,170998000000.0,35344000000.0,58549000000.0,100900000000.0
2024Q4,122321000000.0,159493000000.0,36050000000.0,59821000000.0,105195000000.0
2025Q1,126527000000.0,166118000000.0,38453000000.0,61294000000.0,114494000000.0
2025Q2,134306000000.0,165774000000.0,53829000000.0,62369000000.0,114749000000.0
2025Q3,138279000000.0,167194000000.0,52102000000.0,72820000000.0,115909000000.0
2025Q4,144422000000.0,188972000000.0,77271000000.0,106942000000.0,136732000000.0
2026Q1,143200000000.0,262360000000.0,113985000000.0,104816000000.0,165452000000.0
