quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,14377000000.0,15411000000.0,24318000000.0,16231000000.0,
2023Q2,15140000000.0,16246000000.0,20920000000.0,17789000000.0,5966000000.0
2023Q3,13320000000.0,15471000000.0,22223000000.0,15642000000.0,5547000000.0
2023Q4,15365000000.0,64199000000.0,25038000000.0,16032000000.0,5579000000.0
2024Q1,15772000000.0,13345000000.0,21355000000.0,16237000000.0,5661000000.0
2024Q2,17118000000.0,14501000000.0,21810000000.0,17196000000.0,5677000000.0
2024Q3,14934000000.0,14362000000.0,23273000000.0,16152000000.0,5410000000.0
2024Q4,16180000000.0,67696000000.0,24884000000.0,16182000000.0,5754000000.0
2025Q1,16147000000.0,13264000000.0,23363000000.0,30138000000.0,5577000000.0
2025Q2,18104000000.0,15208000000.0,26230000000.0,33800000000.0,6053000000.0
2025Q3,15669000000.0,17174000000.0,29901000000.0,39176000000.0,5824000000.0
2025Q4,17020000000.0,78450000000.0,32128000000.0,24242000000.0,6028000000.0
2026Q1,17660000000.0,13634000000.0,28929000000.0,42036000000.0,5732000000.0
