quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,22352000000.0,4774000000.0,17415000000.0,7227000000.0,
2023Q2,24254000000.0,7681000000.0,21838000000.0,9392000000.0,4140000000.0
2023Q3,26895000000.0,11188000000.0,21343000000.0,13748000000.0,3296000000.0
2023Q4,27032000000.0,13209000000.0,23697000000.0,16384000000.0,3622000000.0
2024Q1,27581000000.0,15307000000.0,25472000000.0,13818000000.0,3750000000.0
2024Q2,27925000000.0,14672000000.0,27425000000.0,14847000000.0,4686000000.0
2024Q3,30552000000.0,17411000000.0,28521000000.0,17350000000.0,3991000000.0
2024Q4,31653000000.0,21203000000.0,30972000000.0,23364000000.0,4220000000.0
2025Q1,32000000000.0,18405000000.0,30606000000.0,17555000000.0,4358000000.0
2025Q2,34323000000.0,19171000000.0,31271000000.0,20441000000.0,5109000000.0
2025Q3,37961000000.0,17422000000.0,31228000000.0,20535000000.0,4277000000.0
2025Q4,38275000000.0,24977000000.0,35934000000.0,24745000000.0,4731000000.0
2026Q1,38398000000.0,23852000000.0,39696000000.0,22872000000.0,5464000000.0
