quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,7435487575.0,10260353688.0,12697000000.0,2212153203.0,
2023Q2,7435487575.0,10317750796.0,12609000000.0,2222582542.0,2699802000.0
2023Q3,7432262329.0,10334030586.0,12516000000.0,2219607026.0,2739821000.0
2023Q4,7430436229.0,10334030586.0,12516000000.0,2569862732.0,2748922000.0
2024Q1,7432305794.0,10406627415.0,12358000000.0,2191446233.0,2748514000.0
2024Q2,7432305794.0,10495566881.0,12310000000.0,2184728795.0,2748514000.0
2024Q3,7434880776.0,10515011008.0,12241000000.0,2180000871.0,2770968000.0
2024Q4,7433982235.0,10515011008.0,12241000000.0,2524488533.0,2796956000.0
2025Q1,7432543865.0,10616352407.0,12135000000.0,2171148098.0,2804234000.0
2025Q2,7432543865.0,10664912097.0,12094000000.0,2168962480.0,2804234000.0
2025Q3,7432377655.0,10690216011.0,12067000000.0,2177889269.0,2841714000.0
2025Q4,7425629076.0,10690216011.0,12067000000.0,2520527597.0,2873130000.0
2026Q1,7428434704.0,10757109436.0,12097000000.0,2196045588.0,2876046000.0
