quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,88132000000.0,,,,
2023Q2,109987000000.0,,,,17069000000.0
2023Q3,102502000000.0,,,,17644000000.0
2023Q4,112308000000.0,276690000000.0,148436000000.0,109881000000.0,18009000000.0
2024Q1,121375000000.0,,143182000000.0,,19117000000.0
2024Q2,154552000000.0,,151155000000.0,,21536000000.0
2024Q3,152863000000.0,,161270000000.0,,23094000000.0
2024Q4,166902000000.0,328806000000.0,184624000000.0,136268000000.0,26432000000.0
2025Q1,183939000000.0,,185062000000.0,,31970000000.0
2025Q2,229789000000.0,,,,43522000000.0
2025Q3,230861000000.0,,,,53194000000.0
2025Q4,261126000000.0,443079000000.0,261818000000.0,196804000000.0,67875000000.0
2026Q1,283228000000.0,,296529000000.0,,83617000000.0
