quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,6984000000.0,,11468000000.0,9381000000.0,
2023Q2,6739000000.0,,10588000000.0,9344000000.0,2226000000.0
2023Q3,6659000000.0,,11258000000.0,9241000000.0,2216000000.0
2023Q4,7142000000.0,22038000000.0,12113000000.0,10517000000.0,2226000000.0
2024Q1,7653000000.0,,11903000000.0,9978000000.0,2248000000.0
2024Q2,8056000000.0,,11860000000.0,10537000000.0,2226000000.0
2024Q3,7544000000.0,,12447000000.0,11177000000.0,2306000000.0
2024Q4,7917000000.0,23571000000.0,13116000000.0,12180000000.0,2471000000.0
2025Q1,8198000000.0,,13556000000.0,12150000000.0,2429000000.0
2025Q2,8829000000.0,,13808000000.0,12942000000.0,2654000000.0
2025Q3,8146000000.0,,15151000000.0,15144000000.0,2491000000.0
2025Q4,8504000000.0,29399000000.0,18572000000.0,17135000000.0,2561000000.0
2026Q1,8915000000.0,,17032000000.0,17699000000.0,2607000000.0
