quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,108234000000.0,86365000000.0,196625000000.0,61241000000.0,
2023Q2,118848000000.0,93115000000.0,200884000000.0,67980000000.0,-27620000000.0
2023Q3,132143000000.0,102994000000.0,205647000000.0,75205000000.0,-26428000000.0
2023Q4,145737000000.0,113618000000.0,211247000000.0,82070000000.0,-25431000000.0
2024Q1,159394000000.0,124049000000.0,219770000000.0,76793000000.0,-24533000000.0
2024Q2,173144000000.0,137534000000.0,226033000000.0,81188000000.0,-22628000000.0
2024Q3,188929000000.0,152862000000.0,235317000000.0,84972000000.0,-20939000000.0
2024Q4,203482000000.0,172866000000.0,245084000000.0,102506000000.0,-19045000000.0
2025Q1,219759000000.0,189993000000.0,262628000000.0,101326000000.0,-17368000000.0
2025Q2,237731000000.0,208157000000.0,275760000000.0,106345000000.0,-15481000000.0
2025Q3,254873000000.0,229344000000.0,297226000000.0,101577000000.0,-14054000000.0
2025Q4,280789000000.0,250536000000.0,324055000000.0,121179000000.0,-9355000000.0
2026Q1,302526000000.0,280791000000.0,384024000000.0,144647000000.0,-7092000000.0
