quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,52857000000.0,127358000000.0,69787000000.0,28645000000.0,
2023Q2,56189000000.0,134383000000.0,74604000000.0,31999000000.0,13837000000.0
2023Q3,56517000000.0,143083000000.0,76693000000.0,34146000000.0,12453000000.0
2023Q4,62020000000.0,169961000000.0,86310000000.0,40111000000.0,12941000000.0
2024Q1,61858000000.0,143313000000.0,80539000000.0,36455000000.0,13280000000.0
2024Q2,64727000000.0,147977000000.0,84742000000.0,39071000000.0,14287000000.0
2024Q3,65585000000.0,158877000000.0,88268000000.0,40589000000.0,13307000000.0
2024Q4,69632000000.0,187792000000.0,96469000000.0,48385000000.0,14059000000.0
2025Q1,70066000000.0,155667000000.0,90234000000.0,42314000000.0,14130000000.0
2025Q2,76441000000.0,167702000000.0,96428000000.0,47516000000.0,15903000000.0
2025Q3,77673000000.0,180169000000.0,102346000000.0,51242000000.0,14926000000.0
2025Q4,81273000000.0,213386000000.0,113829000000.0,59893000000.0,16058000000.0
2026Q1,82886000000.0,181519000000.0,109896000000.0,56311000000.0,17190000000.0
