quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,7393000000.0,13215000000.0,10292000000.0,5929000000.0,
2023Q2,8401000000.0,13947000000.0,10262000000.0,7318000000.0,2689000000.0
2023Q3,6661000000.0,13112000000.0,10863000000.0,4947000000.0,2419000000.0
2023Q4,8223000000.0,15912000000.0,12925000000.0,5515000000.0,2468000000.0
2024Q1,8119000000.0,12404000000.0,9452000000.0,6019000000.0,2419000000.0
2024Q2,9062000000.0,13553000000.0,9950000000.0,6379000000.0,2516000000.0
2024Q3,7390000000.0,13322000000.0,10826000000.0,4687000000.0,2394000000.0
2024Q4,8263000000.0,15987000000.0,11768000000.0,4002000000.0,2577000000.0
2025Q1,7949000000.0,12391000000.0,9711000000.0,5037000000.0,2509000000.0
2025Q2,9275000000.0,14381000000.0,12310000000.0,5642000000.0,2773000000.0
2025Q3,7523000000.0,14561000000.0,14598000000.0,6357000000.0,2439000000.0
2025Q4,8516000000.0,16968000000.0,13556000000.0,7107000000.0,2558000000.0
2026Q1,8745000000.0,12901000000.0,11897000000.0,5522000000.0,2441000000.0
