quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,2465000000.0,4748000000.0,5284000000.0,3051000000.0,
2023Q2,2416000000.0,7127000000.0,5774000000.0,4060000000.0,964000000.0
2023Q3,2507000000.0,5829000000.0,5743000000.0,3492000000.0,849000000.0
2023Q4,2828000000.0,6319000000.0,5659000000.0,3424000000.0,1029000000.0
2024Q1,2703000000.0,4961000000.0,5264000000.0,3562000000.0,1049000000.0
2024Q2,2696000000.0,6722000000.0,5865000000.0,4616000000.0,1047000000.0
2024Q3,2832000000.0,5333000000.0,5846000000.0,4250000000.0,1007000000.0
2024Q4,3089000000.0,4995000000.0,5810000000.0,4262000000.0,1169000000.0
2025Q1,2980000000.0,3689000000.0,5516000000.0,4147000000.0,1198000000.0
2025Q2,3073000000.0,6534000000.0,5998000000.0,4834000000.0,1300000000.0
2025Q3,2983000000.0,4847000000.0,6368000000.0,5556000000.0,1124000000.0
2025Q4,3219000000.0,4397000000.0,7071000000.0,5890000000.0,1156000000.0
2026Q1,3081000000.0,4032000000.0,6751000000.0,6032000000.0,1328000000.0
