quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,194683000000.0,154526000000.0,260894000000.0,124795000000.0,
2023Q2,206223000000.0,168602000000.0,267141000000.0,134033000000.0,1556000000.0
2023Q3,220714000000.0,182973000000.0,273202000000.0,142873000000.0,2841000000.0
2023Q4,238268000000.0,201875000000.0,283379000000.0,153168000000.0,4378000000.0
2024Q1,253152000000.0,216661000000.0,292844000000.0,149529000000.0,6182000000.0
2024Q2,268477000000.0,236447000000.0,300753000000.0,156763000000.0,9239000000.0
2024Q3,287723000000.0,259151000000.0,314119000000.0,164529000000.0,11269000000.0
2024Q4,302695000000.0,285970000000.0,325084000000.0,182637000000.0,14236000000.0
2025Q1,321891000000.0,305867000000.0,345267000000.0,185029000000.0,17261000000.0
2025Q2,343479000000.0,333775000000.0,362916000000.0,195070000000.0,20969000000.0
2025Q3,363076000000.0,369631000000.0,386867000000.0,194066000000.0,24666000000.0
2025Q4,390875000000.0,411065000000.0,415265000000.0,217243000000.0,30457000000.0
2026Q1,414367000000.0,441914000000.0,478746000000.0,243681000000.0,39051000000.0
