quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,,,6885000000.0,,
2023Q2,0.0,,9357000000.0,,12226000000.0
2023Q3,,,10983000000.0,,12243000000.0
2023Q4,,0.0,12169000000.0,0.0,12758000000.0
2024Q1,,,11687000000.0,,12688000000.0
2024Q2,0.0,,14958000000.0,,12273000000.0
2024Q3,,,15915000000.0,,12219000000.0
2024Q4,,0.0,17180000000.0,0.0,11984000000.0
2025Q1,,,18386000000.0,,11799000000.0
2025Q2,0.0,,19289000000.0,,11877000000.0
2025Q3,,,10331000000.0,,11734000000.0
2025Q4,,0.0,9113000000.0,0.0,11531000000.0
2026Q1,,,1995000000.0,,11360000000.0
