quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,302000000.0,,542000000.0,,
2023Q2,30145000000.0,,558000000.0,,16849000000.0
2023Q3,470000000.0,,528000000.0,,5281000000.0
2023Q4,2548000000.0,0.0,8474000000.0,7514000000.0,5244000000.0
2024Q1,2469000000.0,,486000000.0,,4483000000.0
2024Q2,35566000000.0,,717000000.0,,10817000000.0
2024Q3,2581000000.0,,706000000.0,,3442000000.0
2024Q4,2513000000.0,0.0,8782000000.0,9987000000.0,2864000000.0
2025Q1,2522000000.0,,,,2208000000.0
2025Q2,36032000000.0,,,,10269000000.0
2025Q3,2852000000.0,,,,
2025Q4,2876000000.0,0.0,9531000000.0,21005000000.0,
2026Q1,2899000000.0,,12457000000.0,,
