quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,380088000000.0,464378000000.0,369491000000.0,184491000000.0,
2023Q2,411976000000.0,477607000000.0,383044000000.0,206688000000.0,134384000000.0
2023Q3,445785000000.0,486883000000.0,396711000000.0,216274000000.0,136662000000.0
2023Q4,470558000000.0,527854000000.0,402392000000.0,229623000000.0,134324000000.0
2024Q1,484275000000.0,530969000000.0,407350000000.0,222844000000.0,137082000000.0
2024Q2,512163000000.0,554818000000.0,414770000000.0,230238000000.0,140976000000.0
2024Q3,523013000000.0,584626000000.0,430266000000.0,256408000000.0,144214000000.0
2024Q4,533898000000.0,624894000000.0,450256000000.0,276054000000.0,148483000000.0
2025Q1,562624000000.0,643256000000.0,475374000000.0,280213000000.0,161378000000.0
2025Q2,619003000000.0,682170000000.0,502053000000.0,294744000000.0,168361000000.0
2025Q3,636351000000.0,727921000000.0,536469000000.0,303844000000.0,180449000000.0
2025Q4,665302000000.0,818042000000.0,595281000000.0,366021000000.0,204984000000.0
2026Q1,694228000000.0,916630000000.0,703919000000.0,395250000000.0,245240000000.0
