quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,48210000000.0,84631000000.0,1371000000.0,10612000000.0,
2023Q2,47237000000.0,81647000000.0,1317000000.0,19142000000.0,90481000000.0
2023Q3,45694000000.0,79725000000.0,1400000000.0,19042000000.0,88941000000.0
2023Q4,47178000000.0,78917000000.0,1363000000.0,19075000000.0,88789000000.0
2024Q1,44907000000.0,77772000000.0,317000000.0,18387000000.0,87980000000.0
2024Q2,44937000000.0,73221000000.0,918000000.0,18389000000.0,86869000000.0
2024Q3,45117000000.0,71045000000.0,2367000000.0,28823000000.0,84515000000.0
2024Q4,44970000000.0,68393000000.0,13559000000.0,29535000000.0,88624000000.0
2025Q1,42881000000.0,68847000000.0,13947000000.0,28829000000.0,96276000000.0
2025Q2,43151000000.0,67099000000.0,26709000000.0,28832000000.0,92568000000.0
2025Q3,43208000000.0,66724000000.0,25990000000.0,28834000000.0,91315000000.0
2025Q4,40262000000.0,81137000000.0,51043000000.0,59928000000.0,108075000000.0
2026Q1,40262000000.0,135383000000.0,81713000000.0,58748000000.0,134605000000.0
