quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,185405000000.0,312652000000.0,108597000000.0,59696000000.0,
2023Q2,205753000000.0,311705000000.0,115903000000.0,72655000000.0,132828000000.0
2023Q3,225071000000.0,306610000000.0,123509000000.0,73401000000.0,133821000000.0
2023Q4,232290000000.0,325979000000.0,119013000000.0,76455000000.0,129946000000.0
2024Q1,231123000000.0,320708000000.0,114506000000.0,73315000000.0,130900000000.0
2024Q2,243686000000.0,325071000000.0,114017000000.0,73475000000.0,131737000000.0
2024Q3,235290000000.0,332475000000.0,116147000000.0,91879000000.0,132945000000.0
2024Q4,231203000000.0,338924000000.0,125172000000.0,93417000000.0,134247000000.0
2025Q1,240733000000.0,342289000000.0,130107000000.0,95184000000.0,144117000000.0
2025Q2,275524000000.0,352695000000.0,139137000000.0,99674000000.0,147392000000.0
2025Q3,273275000000.0,362390000000.0,149602000000.0,109778000000.0,155783000000.0
2025Q4,274427000000.0,406977000000.0,180016000000.0,148778000000.0,174527000000.0
2026Q1,279861000000.0,479116000000.0,225173000000.0,151569000000.0,206189000000.0
