quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,15305000000.0,66907000000.0,4184000000.0,4557000000.0,
2023Q2,18095000000.0,69481000000.0,5313000000.0,3865000000.0,1204000000.0
2023Q3,19307000000.0,72004000000.0,5803000000.0,5142000000.0,1034000000.0
2023Q4,17695000000.0,84981000000.0,7493000000.0,4849000000.0,1107000000.0
2024Q1,18087000000.0,73068000000.0,6198000000.0,3785000000.0,1658000000.0
2024Q2,21996000000.0,81817000000.0,6092000000.0,3173000000.0,2357000000.0
2024Q3,22768000000.0,84570000000.0,7049000000.0,7656000000.0,2207000000.0
2024Q4,22608000000.0,94363000000.0,7987000000.0,7687000000.0,2679000000.0
2025Q1,26250000000.0,89241000000.0,8497000000.0,8512000000.0,2423000000.0
2025Q2,27724000000.0,98285000000.0,8347000000.0,10271000000.0,5113000000.0
2025Q3,32580000000.0,106032000000.0,10546000000.0,7798000000.0,8203000000.0
2025Q4,37328000000.0,121909000000.0,12200000000.0,8894000000.0,10140000000.0
2026Q1,37513000000.0,124749000000.0,16852000000.0,13326000000.0,9474000000.0
