quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,37420000000.0,,,,
2023Q2,48688000000.0,,,,6915000000.0
2023Q3,36953000000.0,,,,6519000000.0
2023Q4,42831000000.0,52253000000.0,47964000000.0,16169000000.0,6804000000.0
2024Q1,44029000000.0,,,,7297000000.0
2024Q2,56924000000.0,,,,7874000000.0
2024Q3,44148000000.0,,,,8021000000.0
2024Q4,48188000000.0,55451000000.0,52340000000.0,16994000000.0,8177000000.0
2025Q1,51700000000.0,,,,8051000000.0
2025Q2,69905000000.0,,,,8558000000.0
2025Q3,52894000000.0,,,,8843000000.0
2025Q4,56535000000.0,67729000000.0,62886000000.0,19769000000.0,9440000000.0
2026Q1,60041000000.0,,62999000000.0,,10719000000.0
