quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,7441000000.0,10250000000.0,12781000000.0,2587000000.0,
2023Q2,7434000000.0,10285000000.0,12668000000.0,2568000000.0,2707000000.0
2023Q3,7429000000.0,10322000000.0,12581000000.0,2576000000.0,2728000000.0
2023Q4,7432000000.0,10358000000.0,12516000000.0,2565000000.0,2746000000.0
2024Q1,7431000000.0,10393000000.0,12415000000.0,2545000000.0,2748000000.0
2024Q2,7433000000.0,10447000000.0,12343000000.0,2534000000.0,2753000000.0
2024Q3,7433000000.0,10501000000.0,12290000000.0,2529000000.0,2761000000.0
2024Q4,7435000000.0,10551000000.0,12241000000.0,2528000000.0,2790000000.0
2025Q1,7434000000.0,10603000000.0,12183000000.0,2527000000.0,2799000000.0
2025Q2,7432000000.0,10637000000.0,12122000000.0,2518000000.0,2805000000.0
2025Q3,7433000000.0,10674000000.0,12086000000.0,2517000000.0,2826000000.0
2025Q4,7431000000.0,10710000000.0,12067000000.0,2524000000.0,2864000000.0
2026Q1,7426000000.0,10743000000.0,12097000000.0,2534000000.0,2874000000.0
