quarter,MSFT,AMZN,GOOGL,META,ORCL
2023Q1,7464000000.0,10347000000.0,13706000000.0,2596000000.0,
2023Q2,7467000000.0,10449000000.0,13643000000.0,2612000000.0,2796000000.0
2023Q3,7462000000.0,10558000000.0,13571000000.0,2641000000.0,2823000000.0
2023Q4,7468000000.0,10612000000.0,,2647000000.0,2817000000.0
2024Q1,7472000000.0,10670000000.0,13396000000.0,2625000000.0,2819000000.0
2024Q2,7472000000.0,10708000000.0,12495000000.0,2610000000.0,2834000000.0
2024Q3,7470000000.0,10735000000.0,12419000000.0,2600000000.0,2851000000.0
2024Q4,7468000000.0,10769000000.0,,2611000000.0,2869000000.0
2025Q1,7461000000.0,10793000000.0,12291000000.0,2590000000.0,2874000000.0
2025Q2,7461000000.0,10806000000.0,12198000000.0,2570000000.0,2871000000.0
2025Q3,7466000000.0,10845000000.0,12203000000.0,2572000000.0,2909000000.0
2025Q4,7460000000.0,10863000000.0,,2562000000.0,2922000000.0
2026Q1,7445000000.0,10874000000.0,,2564000000.0,2912000000.0
