ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
AMZN,2023Q1,2023-03-31,2023-Q1,quarterly,USD,0001018724-23-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/0001018724-23-000008-index.htm,464378000000.0,136221000000.0,49343000000.0,34170000000.0,15062000000.0,,137417000000.0,,22749000000.0,15062000000.0,,10260353688.0,,312652000000.0,147570000000.0,6776000000.0,66907000000.0,14281000000.0,16100000000.0,165082000000.0,77855000000.0,,154526000000.0,86365000000.0,-3973000000.0,84631000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-23-000008,2023-04-28,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/amzn-20230331.htm,,
AMZN,2023Q2,2023-06-30,2023-Q2,quarterly,USD,0001018724-23-000012,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/0001018724-23-000012-index.htm,477607000000.0,140482000000.0,49529000000.0,36587000000.0,14441000000.0,,143356000000.0,,22785000000.0,14441000000.0,,10317750796.0,,311705000000.0,148238000000.0,8121000000.0,69481000000.0,14522000000.0,16100000000.0,163467000000.0,73526000000.0,,168602000000.0,93115000000.0,-3680000000.0,81647000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-23-000012,2023-08-04,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/amzn-20230630.htm,,
AMZN,2023Q3,2023-09-30,2023-Q3,quarterly,USD,0001018724-23-000018,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/0001018724-23-000018-index.htm,486883000000.0,142995000000.0,49605000000.0,35406000000.0,14564000000.0,,147431000000.0,,22749000000.0,14564000000.0,,10334030586.0,,306610000000.0,145214000000.0,8546000000.0,72004000000.0,14398000000.0,16100000000.0,161396000000.0,71179000000.0,,182973000000.0,102994000000.0,-5003000000.0,79725000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-23-000018,2023-10-27,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/amzn-20230930.htm,,
AMZN,2023Q4,2023-12-31,2023-Q4,quarterly,USD,0001018724-24-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,527854000000.0,172351000000.0,73387000000.0,33318000000.0,13393000000.0,52253000000.0,355503000000.0,276690000000.0,22789000000.0,13393000000.0,0.0,10334030586.0,0.0,325979000000.0,164917000000.0,10526000000.0,84981000000.0,15227000000.0,0.0,161062000000.0,68391000000.0,0.0,201875000000.0,113618000000.0,-3040000000.0,78917000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-24-000008,2024-02-02,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,,
AMZN,2024Q1,2024-03-31,2024-Q1,quarterly,USD,0001018724-24-000083,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/0001018724-24-000083-index.htm,530969000000.0,163989000000.0,72852000000.0,31147000000.0,12222000000.0,,157036000000.0,,22770000000.0,12222000000.0,,10406627415.0,,320708000000.0,152965000000.0,10524000000.0,73068000000.0,15927000000.0,20900000000.0,167743000000.0,67248000000.0,,216661000000.0,124049000000.0,-3598000000.0,77772000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-24-000083,2024-05-01,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/amzn-20240331.htm,,
AMZN,2024Q2,2024-06-30,2024-Q2,quarterly,USD,0001018724-24-000130,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/0001018724-24-000130-index.htm,554818000000.0,173307000000.0,71178000000.0,34109000000.0,17914000000.0,,160798000000.0,,22879000000.0,17914000000.0,,10495566881.0,,325071000000.0,158172000000.0,8944000000.0,81817000000.0,16004000000.0,20900000000.0,166899000000.0,64277000000.0,,236447000000.0,137534000000.0,-3993000000.0,73221000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-24-000130,2024-08-02,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/amzn-20240630.htm,,
AMZN,2024Q3,2024-09-30,2024-Q3,quarterly,USD,0001018724-24-000161,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161-index.htm,584626000000.0,175792000000.0,75091000000.0,36103000000.0,12960000000.0,,174170000000.0,,23081000000.0,12960000000.0,,10515011008.0,,332475000000.0,161477000000.0,6729000000.0,84570000000.0,16305000000.0,20900000000.0,170998000000.0,64316000000.0,,259151000000.0,152862000000.0,-1918000000.0,71045000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-24-000161,2024-11-01,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/amzn-20240930.htm,,
AMZN,2024Q4,2024-12-31,2024-Q4,quarterly,USD,0001018724-25-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,624894000000.0,190867000000.0,78779000000.0,34214000000.0,22423000000.0,55451000000.0,434027000000.0,328806000000.0,23074000000.0,22423000000.0,0.0,10515011008.0,0.0,338924000000.0,179431000000.0,6543000000.0,94363000000.0,18103000000.0,0.0,159493000000.0,61850000000.0,0.0,285970000000.0,172866000000.0,-34000000.0,68393000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-25-000004,2025-02-07,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,,
AMZN,2025Q1,2025-03-31,2025-Q1,quarterly,USD,0001018724-25-000036,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036-index.htm,643256000000.0,184645000000.0,66207000000.0,35864000000.0,28358000000.0,,190351000000.0,,23089000000.0,29558000000.0,1200000000.0,10616352407.0,,342289000000.0,176171000000.0,6449000000.0,89241000000.0,20599000000.0,24600000000.0,166118000000.0,62398000000.0,,305867000000.0,189993000000.0,-914000000.0,68847000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-25-000036,2025-05-02,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/amzn-20250331.htm,,
AMZN,2025Q2,2025-06-30,2025-Q2,quarterly,USD,0001018724-25-000086,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,682170000000.0,191420000000.0,57741000000.0,40825000000.0,35439000000.0,,197690000000.0,,23155000000.0,36639000000.0,1200000000.0,10664912097.0,,352695000000.0,186921000000.0,6554000000.0,98285000000.0,21662000000.0,24600000000.0,165774000000.0,60545000000.0,,333775000000.0,208157000000.0,2420000000.0,67099000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-25-000086,2025-08-01,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm,,
AMZN,2025Q3,2025-09-30,2025-Q3,quarterly,USD,0001018724-25-000123,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,727921000000.0,196866000000.0,66922000000.0,41494000000.0,27275000000.0,,210960000000.0,,23260000000.0,28375000000.0,1100000000.0,10690216011.0,,362390000000.0,195196000000.0,5665000000.0,106032000000.0,21113000000.0,24600000000.0,167194000000.0,61059000000.0,,369631000000.0,229344000000.0,12333000000.0,66724000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-25-000123,2025-10-31,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/amzn-20250930.htm,,
AMZN,2025Q4,2025-12-31,2025-Q4,quarterly,USD,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,818042000000.0,229083000000.0,86810000000.0,38325000000.0,36219000000.0,67729000000.0,588959000000.0,443079000000.0,23273000000.0,36219000000.0,0.0,10690216011.0,0.0,406977000000.0,218005000000.0,4747000000.0,121909000000.0,20576000000.0,0.0,188972000000.0,76390000000.0,0.0,411065000000.0,250536000000.0,28230000000.0,81137000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-26-000004,2026-02-06,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,,
AMZN,2026Q1,2026-03-31,2026-Q1,quarterly,USD,0001018724-26-000014,https://www.sec.gov/Archives/edgar/data/0001018724/000101872426000014/amzn-20260331.htm,916630000000.0,255155000000.0,101816000000.0,36534000000.0,41273000000.0,,267486000000.0,,23449000000.0,42196000000.0,923000000.0,10757109436.0,,479116000000.0,216756000000.0,4562000000.0,124749000000.0,20887000000.0,25000000000.0,262360000000.0,130821000000.0,,441914000000.0,280791000000.0,24868000000.0,135383000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities and Amazon financing obligations,0001018724-26-000014,2026-04-30,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,,
