ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
GOOGL,2023Q1,2023-03-31,2023-Q1,quarterly,USD,0001652044-23-000045,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/0001652044-23-000045-index.htm,369491000000.0,161985000000.0,25924000000.0,2315000000.0,94320000000.0,,92466000000.0,,30962000000.0,128053000000.0,33733000000.0,12697000000.0,6885000000.0,108597000000.0,68854000000.0,1371000000.0,4184000000.0,3715000000.0,4500000000.0,39743000000.0,0.0,542000000.0,260894000000.0,196625000000.0,-6000000000.0,1371000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20230331.html,,
GOOGL,2023Q2,2023-06-30,2023-Q2,quarterly,USD,0001652044-23-000070,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/0001652044-23-000070-index.htm,383044000000.0,168788000000.0,25929000000.0,2231000000.0,97698000000.0,,95440000000.0,,31176000000.0,131314000000.0,33616000000.0,12609000000.0,9357000000.0,115903000000.0,77709000000.0,1317000000.0,5313000000.0,3846000000.0,4500000000.0,38194000000.0,0.0,558000000.0,267141000000.0,200884000000.0,-5991000000.0,1317000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20230630.html,,
GOOGL,2023Q3,2023-09-30,2023-Q3,quarterly,USD,0001652044-23-000094,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/0001652044-23-000094-index.htm,396711000000.0,176310000000.0,30702000000.0,2957000000.0,94206000000.0,,97154000000.0,,30979000000.0,127571000000.0,33365000000.0,12516000000.0,10983000000.0,123509000000.0,86295000000.0,1400000000.0,5803000000.0,4303000000.0,4500000000.0,37214000000.0,0.0,528000000.0,273202000000.0,205647000000.0,-7036000000.0,1400000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20230930.html,,
GOOGL,2023Q4,2023-12-31,2023-Q4,quarterly,USD,0001652044-24-000022,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,402392000000.0,171530000000.0,24048000000.0,0.0,86868000000.0,47964000000.0,230862000000.0,148436000000.0,29198000000.0,117876000000.0,31008000000.0,12516000000.0,12169000000.0,119013000000.0,81814000000.0,1363000000.0,7493000000.0,13013000000.0,0.0,37199000000.0,0.0,8474000000.0,283379000000.0,211247000000.0,-4402000000.0,1363000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20231231.html,,
GOOGL,2024Q1,2024-03-31,2024-Q1,quarterly,USD,0001652044-24-000053,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/0001652044-24-000053-index.htm,407350000000.0,165471000000.0,24493000000.0,,89250000000.0,,245279000000.0,143182000000.0,29183000000.0,126644000000.0,37394000000.0,12358000000.0,11687000000.0,114506000000.0,76997000000.0,317000000.0,6198000000.0,3973000000.0,5000000000.0,37509000000.0,0.0,486000000.0,292844000000.0,219770000000.0,-4839000000.0,317000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20240331.html,,
GOOGL,2024Q2,2024-06-30,2024-Q2,quarterly,USD,0001652044-24-000079,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/0001652044-24-000079-index.htm,414770000000.0,161995000000.0,27225000000.0,,78735000000.0,,255151000000.0,151155000000.0,29185000000.0,115283000000.0,36548000000.0,12310000000.0,14958000000.0,114017000000.0,77913000000.0,918000000.0,6092000000.0,4251000000.0,5000000000.0,36104000000.0,0.0,717000000.0,300753000000.0,226033000000.0,-5012000000.0,918000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20240630.html,,
GOOGL,2024Q3,2024-09-30,2024-Q3,quarterly,USD,0001652044-24-000118,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118-index.htm,430266000000.0,157541000000.0,19959000000.0,,78748000000.0,,274978000000.0,161270000000.0,31935000000.0,117178000000.0,38430000000.0,12241000000.0,15915000000.0,116147000000.0,80803000000.0,2367000000.0,7049000000.0,4896000000.0,5000000000.0,35344000000.0,0.0,706000000.0,314119000000.0,235317000000.0,-3228000000.0,2367000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20240930.html,,
GOOGL,2024Q4,2024-12-31,2024-Q4,quarterly,USD,0001652044-25-000014,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,450256000000.0,163711000000.0,23466000000.0,0.0,72191000000.0,52340000000.0,286545000000.0,184624000000.0,31885000000.0,110173000000.0,37982000000.0,12241000000.0,17180000000.0,125172000000.0,89122000000.0,1234000000.0,7987000000.0,14838000000.0,0.0,36050000000.0,12325000000.0,8782000000.0,325084000000.0,245084000000.0,-4800000000.0,13559000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20241231.html,,
GOOGL,2025Q1,2025-03-31,2025-Q1,quarterly,USD,0001652044-25-000043,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,475374000000.0,162052000000.0,23264000000.0,,77238000000.0,,318792000000.0,185062000000.0,32173000000.0,130643000000.0,53405000000.0,12135000000.0,18386000000.0,130107000000.0,91654000000.0,1100000000.0,8497000000.0,4908000000.0,6600000000.0,38453000000.0,12847000000.0,,345267000000.0,262628000000.0,-4086000000.0,13947000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20250331.html,,
GOOGL,2025Q2,2025-06-30,2025-Q2,quarterly,USD,0001652044-25-000062,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000062/0001652044-25-000062-index.htm,502053000000.0,166216000000.0,21036000000.0,,80087000000.0,,138373000000.0,,32335000000.0,135227000000.0,55140000000.0,12094000000.0,19289000000.0,139137000000.0,87310000000.0,1100000000.0,8347000000.0,4969000000.0,6800000000.0,53829000000.0,25609000000.0,,362916000000.0,275760000000.0,-2127000000.0,26709000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/GOOG/sec_filing_html/goog-20250630.html,,
