ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
META,2023Q1,2023-03-31,2023-Q1,quarterly,USD,0001326801-23-000067,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000067/0001326801-23-000067-index.htm,184491000000.0,52483000000.0,11551000000.0,,25913000000.0,,41703000000.0,,21598000000.0,25931000000.0,18000000.0,2212153203.0,,59696000000.0,25381000000.0,114000000.0,4557000000.0,460000000.0,492000000.0,41834000000.0,10498000000.0,,124795000000.0,61241000000.0,-2981000000.0,10612000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2023Q1_2023-Q1_sec_filing_html_10-q.html,,
META,2023Q2,2023-06-30,2023-Q2,quarterly,USD,0001326801-23-000093,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000093/0001326801-23-000093-index.htm,206688000000.0,69560000000.0,28785000000.0,,24686000000.0,,43030000000.0,,21515000000.0,24745000000.0,59000000.0,2222582542.0,,72655000000.0,29921000000.0,181000000.0,3865000000.0,494000000.0,520000000.0,49883000000.0,18961000000.0,,134033000000.0,67980000000.0,-3106000000.0,19142000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2023Q2_2023-Q2_sec_filing_html_10-q.html,,
META,2023Q3,2023-09-30,2023-Q3,quarterly,USD,0001326801-23-000103,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000103/0001326801-23-000103-index.htm,216274000000.0,78378000000.0,36890000000.0,,24258000000.0,,40041000000.0,,21481000000.0,24317000000.0,59000000.0,2219607026.0,,73401000000.0,30531000000.0,85000000.0,5142000000.0,509000000.0,526000000.0,50276000000.0,18957000000.0,,142873000000.0,75205000000.0,-3556000000.0,19042000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2023Q3_2023-Q3_sec_filing_html_10-q.html,,
META,2023Q4,2023-12-31,2023-Q4,quarterly,USD,0001326801-24-000012,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm,229623000000.0,85365000000.0,41862000000.0,0.0,23541000000.0,16169000000.0,144258000000.0,109881000000.0,20654000000.0,29682000000.0,6141000000.0,2569862732.0,0.0,76455000000.0,31960000000.0,90000000.0,4849000000.0,0.0,0.0,44495000000.0,18985000000.0,7514000000.0,153168000000.0,82070000000.0,-2155000000.0,19075000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2023Q4_2023-Q4_sec_filing_html_10-k.html,,
META,2024Q1,2024-03-31,2024-Q1,quarterly,USD,0001326801-24-000049,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000049/0001326801-24-000049-index.htm,222844000000.0,75330000000.0,32307000000.0,,25813000000.0,,43274000000.0,,21483000000.0,25870000000.0,57000000.0,2191446233.0,,73315000000.0,28101000000.0,0.0,3785000000.0,599000000.0,645000000.0,45214000000.0,18387000000.0,,149529000000.0,76793000000.0,-2655000000.0,18387000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2024Q1_2024-Q1_sec_filing_html_10-q.html,,
META,2024Q2,2024-06-30,2024-Q2,quarterly,USD,0001326801-24-000069,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000069/0001326801-24-000069-index.htm,230238000000.0,76431000000.0,32045000000.0,,26035000000.0,,45681000000.0,,21638000000.0,26091000000.0,56000000.0,2184728795.0,,73475000000.0,27004000000.0,0.0,3173000000.0,637000000.0,675000000.0,46471000000.0,18389000000.0,,156763000000.0,81188000000.0,-2695000000.0,18389000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2024Q2_2024-Q2_sec_filing_html_10-q.html,,
META,2024Q3,2024-09-30,2024-Q3,quarterly,USD,0001326801-24-000081,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/0001326801-24-000081-index.htm,256408000000.0,91067000000.0,43852000000.0,,27048000000.0,,49319000000.0,,21627000000.0,27101000000.0,53000000.0,2180000871.0,,91879000000.0,33330000000.0,0.0,7656000000.0,704000000.0,732000000.0,58549000000.0,28823000000.0,,164529000000.0,84972000000.0,-1192000000.0,28823000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2024Q3_2024-Q3_sec_filing_html_10-q.html,,
META,2024Q4,2024-12-31,2024-Q4,quarterly,USD,0001326801-25-000017,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,276054000000.0,100045000000.0,43889000000.0,0.0,33926000000.0,16994000000.0,176009000000.0,136268000000.0,20654000000.0,39996000000.0,6070000000.0,2524488533.0,0.0,93417000000.0,33596000000.0,76000000.0,7687000000.0,0.0,0.0,59821000000.0,29459000000.0,9987000000.0,182637000000.0,102506000000.0,-3097000000.0,29535000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2024Q4_2024-Q4_sec_filing_html_10-k.html,,
META,2025Q1,2025-03-31,2025-Q1,quarterly,USD,0001326801-25-000054,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,280213000000.0,90227000000.0,28750000000.0,,44566000000.0,,51550000000.0,,20654000000.0,44615000000.0,49000000.0,2171148098.0,,95184000000.0,33890000000.0,0.0,8512000000.0,,778000000.0,61294000000.0,28829000000.0,,185029000000.0,101326000000.0,-1865000000.0,28829000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2025Q1_2025-Q1_sec_filing_html_10-q.html,,
META,2025Q2,2025-06-30,2025-Q2,quarterly,USD,0001628280-25-036791,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/0001628280-25-036791-index.htm,294744000000.0,73613000000.0,12005000000.0,,39927000000.0,,55788000000.0,,20654000000.0,41949000000.0,2022000000.0,2168962480.0,,99674000000.0,37305000000.0,0.0,10271000000.0,,876000000.0,62369000000.0,28832000000.0,,195070000000.0,106345000000.0,229000000.0,28832000000.0,,,,,,sec_html:pure_financial_debt,pure_financial_debt: short-term borrowings + current/noncurrent long-term debt + current/noncurrent finance lease liabilities; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2025Q2_2025-Q2_sec_filing_html_10-q.html,,
