ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
ORCL,2023Q2,2023-05-31,2023-Q4,quarterly,USD,0000950170-23-028914,https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/orcl-20230531.htm,134384000000.0,21004000000.0,9765000000.0,0.0,422000000.0,6915000000.0,113380000000.0,17069000000.0,72098000000.0,422000000.0,0.0,2699802000.0,12226000000.0,132828000000.0,23090000000.0,4061000000.0,1204000000.0,8970000000.0,0.0,109738000000.0,86420000000.0,16849000000.0,1556000000.0,-27620000000.0,-1522000000.0,90481000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2023Q2_2023-Q4_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
ORCL,2023Q3,2023-08-31,2024-Q1,quarterly,USD,0000950170-23-047713,https://www.sec.gov/Archives/edgar/data/1341439/000095017023047713/0000950170-23-047713-index.htm,136662000000.0,22166000000.0,11613000000.0,,470000000.0,6519000000.0,114496000000.0,17644000000.0,71280000000.0,470000000.0,,2739821000.0,12243000000.0,133821000000.0,25357000000.0,4499000000.0,1034000000.0,11120000000.0,12266000000.0,108464000000.0,84442000000.0,5281000000.0,2841000000.0,-26428000000.0,-1497000000.0,88941000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2023Q3_2024-Q1_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
ORCL,2023Q4,2023-11-30,2024-Q2,quarterly,USD,0000950170-23-069682,https://www.sec.gov/Archives/edgar/data/1341439/000095017023069682/0000950170-23-069682-index.htm,134324000000.0,19289000000.0,8244000000.0,,446000000.0,6804000000.0,115035000000.0,18009000000.0,70609000000.0,446000000.0,,2748922000.0,12758000000.0,129946000000.0,24407000000.0,6321000000.0,1107000000.0,8878000000.0,10129000000.0,105539000000.0,82468000000.0,5244000000.0,4378000000.0,-25431000000.0,-1427000000.0,88789000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2023Q4_2024-Q2_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
ORCL,2024Q1,2024-02-29,2024-Q3,quarterly,USD,0000950170-24-029904,https://www.sec.gov/Archives/edgar/data/1341439/000095017024029904/0000950170-24-029904-index.htm,137082000000.0,21063000000.0,9481000000.0,,423000000.0,7297000000.0,116019000000.0,19117000000.0,69851000000.0,423000000.0,,2748514000.0,12688000000.0,130900000000.0,24885000000.0,5510000000.0,1658000000.0,8931000000.0,10196000000.0,106015000000.0,82470000000.0,4483000000.0,6182000000.0,-24533000000.0,-1466000000.0,87980000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2024Q1_2024-Q3_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
ORCL,2024Q2,2024-05-31,2024-Q4,quarterly,USD,0000950170-24-075605,https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/orcl-20240531.htm,140976000000.0,22554000000.0,10454000000.0,0.0,207000000.0,7874000000.0,118422000000.0,21536000000.0,69120000000.0,207000000.0,0.0,2748514000.0,12273000000.0,131737000000.0,31544000000.0,10605000000.0,2357000000.0,9313000000.0,0.0,100193000000.0,76264000000.0,10817000000.0,9239000000.0,-22628000000.0,-1432000000.0,86869000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2024Q2_2024-Q4_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
ORCL,2024Q3,2024-08-31,2025-Q1,quarterly,USD,0000950170-24-104905,https://www.sec.gov/Archives/edgar/data/1341439/000095017024104905/0000950170-24-104905-index.htm,144214000000.0,23072000000.0,10616000000.0,,295000000.0,8021000000.0,121142000000.0,23094000000.0,68519000000.0,295000000.0,,2770968000.0,12219000000.0,132945000000.0,32045000000.0,9201000000.0,2207000000.0,11455000000.0,12884000000.0,100900000000.0,75314000000.0,3442000000.0,11269000000.0,-20939000000.0,-1328000000.0,84515000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2024Q3_2025-Q1_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
ORCL,2024Q4,2024-11-30,2025-Q2,quarterly,USD,0000950170-24-134973,https://www.sec.gov/Archives/edgar/data/1341439/000095017024134973/0000950170-24-134973-index.htm,148483000000.0,23503000000.0,10941000000.0,,370000000.0,8177000000.0,124980000000.0,26432000000.0,67883000000.0,370000000.0,,2796956000.0,11984000000.0,134247000000.0,29052000000.0,8162000000.0,2679000000.0,9430000000.0,10826000000.0,105195000000.0,80462000000.0,2864000000.0,14236000000.0,-19045000000.0,-1519000000.0,88624000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2024Q4_2025-Q2_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
ORCL,2025Q1,2025-02-28,2025-Q3,quarterly,USD,0000950170-25-037143,https://www.sec.gov/Archives/edgar/data/1341439/000095017025037143/0000950170-25-037143-index.htm,161378000000.0,30116000000.0,17406000000.0,,417000000.0,8051000000.0,131262000000.0,31970000000.0,67302000000.0,417000000.0,,2804234000.0,11799000000.0,144117000000.0,29623000000.0,8167000000.0,2423000000.0,9019000000.0,10368000000.0,114494000000.0,88109000000.0,2208000000.0,17261000000.0,-17368000000.0,-1593000000.0,96276000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2025Q1_2025-Q3_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
ORCL,2025Q2,2025-05-31,2025-Q4,quarterly,USD,0000950170-25-087926,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,168361000000.0,24579000000.0,10786000000.0,0.0,417000000.0,8558000000.0,143782000000.0,43522000000.0,66794000000.0,417000000.0,0.0,2804234000.0,11877000000.0,147392000000.0,32643000000.0,7271000000.0,5113000000.0,9387000000.0,0.0,114749000000.0,85297000000.0,10269000000.0,20969000000.0,-15481000000.0,-1175000000.0,92568000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2025Q2_2025-Q4_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
ORCL,2025Q3,2025-08-31,2026-Q1,quarterly,USD,0001193125-25-200095,https://www.sec.gov/Archives/edgar/data/1341439/000119312525200095/0001193125-25-200095-index.htm,180449000000.0,24634000000.0,10445000000.0,,560000000.0,8843000000.0,155815000000.0,53194000000.0,66378000000.0,560000000.0,,2841714000.0,11734000000.0,155783000000.0,39874000000.0,9079000000.0,8203000000.0,12098000000.0,13362000000.0,115909000000.0,82236000000.0,,24666000000.0,-14054000000.0,-1170000000.0,91315000000.0,,,,,,orcl_financial_tables_xlsx:pure_financial_debt,"pure_financial_debt: notes payable and other borrowings, current + notes payable and other borrowings, non-current; excludes operating lease liabilities",,,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2025Q3_2026-Q1_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,
