ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
AMZN,2023Q1,2023-03-31,2023-Q1,quarterly,USD,0001018724-23-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/0001018724-23-000008-index.htm,3172000000.0,11123000000.0,4748000000.0,4788000000.0,-14207000000.0,3513000000.0,-777000000.0,-15806000000.0,-2766000000.0,0.0,,6354000000.0,-4519000000.0,145000000.0,49343000000.0,-9419000000.0,3172000000.0,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-24-000083,2024-05-01,CY2023Q1,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/0001018724-24-000083-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2023Q2,2023-06-30,2023-Q2,quarterly,USD,0001018724-23-000012,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/0001018724-23-000012-index.htm,6750000000.0,11589000000.0,7127000000.0,16476000000.0,-11455000000.0,316000000.0,-1055000000.0,-9673000000.0,-3220000000.0,0.0,,-6539000000.0,333000000.0,69000000.0,49529000000.0,5021000000.0,6750000000.0,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-24-000130,2024-08-02,CY2023Q2,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/0001018724-24-000130-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2023Q3,2023-09-30,2023-Q3,quarterly,USD,0001018724-23-000018,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/0001018724-23-000018-index.htm,9879000000.0,12131000000.0,5829000000.0,21217000000.0,-12479000000.0,,-1174000000.0,-11753000000.0,-1005000000.0,0.0,,-8948000000.0,14000000.0,-502000000.0,49605000000.0,8738000000.0,9879000000.0,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-24-000161,2024-11-01,CY2023Q3,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2023Q4,2023-12-31,2023-Q4,quarterly,USD,0001018724-24-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,10624000000.0,13820000000.0,6319000000.0,42465000000.0,-14588000000.0,-381000000.0,1133000000.0,-12601000000.0,-6746000000.0,0.0,0.0,-6746000000.0,23809000000.0,691000000.0,73387000000.0,27877000000.0,29112000000.0,sec_html:PaymentsToAcquireProductiveAssets,0001018724-24-000008,2024-02-02,derived from YTD less prior YTD through Q3,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2024Q1,2024-03-31,2024-Q1,quarterly,USD,0001018724-24-000083,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/0001018724-24-000083-index.htm,10431000000.0,11684000000.0,4961000000.0,18989000000.0,-14925000000.0,3354000000.0,573000000.0,-17862000000.0,-1100000000.0,0.0,,-1256000000.0,-558000000.0,-429000000.0,72852000000.0,4064000000.0,10431000000.0,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-25-000036,2025-05-02,CY2024Q1,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2024Q2,2024-06-30,2024-Q2,quarterly,USD,0001018724-24-000130,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/0001018724-24-000130-index.htm,13485000000.0,12038000000.0,6722000000.0,25281000000.0,-17620000000.0,571000000.0,5174000000.0,-22138000000.0,-4707000000.0,,,-4490000000.0,-1659000000.0,-312000000.0,71178000000.0,7661000000.0,13485000000.0,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-25-000086,2025-08-01,CY2024Q2,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2024Q3,2024-09-30,2024-Q3,quarterly,USD,0001018724-24-000161,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161-index.htm,15328000000.0,13442000000.0,5333000000.0,25971000000.0,-22620000000.0,622000000.0,-5001000000.0,-16899000000.0,-2585000000.0,,,-2758000000.0,7004000000.0,690000000.0,75091000000.0,3351000000.0,15328000000.0,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-25-000123,2025-10-31,CY2024Q3,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2024Q4,2024-12-31,2024-Q4,quarterly,USD,0001018724-25-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,20004000000.0,15631000000.0,4995000000.0,45636000000.0,-27834000000.0,-2535000000.0,-8856000000.0,-37443000000.0,-3308000000.0,0.0,0.0,-3308000000.0,3635000000.0,-1250000000.0,78779000000.0,17802000000.0,19584000000.0,sec_html:PaymentsToAcquireProductiveAssets,0001018724-25-000004,2025-02-07,derived from YTD less prior YTD through Q3,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2025Q1,2025-03-31,2025-Q1,quarterly,USD,0001018724-25-000036,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036-index.htm,17127000000.0,14262000000.0,3689000000.0,17015000000.0,-25019000000.0,-48000000.0,6896000000.0,-29803000000.0,336000000.0,,,-47000000.0,-12419000000.0,416000000.0,66207000000.0,-8004000000.0,17127000000.0,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-26-000014,2026-04-30,CY2025Q1,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/0001018724-26-000014-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2025Q2,2025-06-30,2025-Q2,quarterly,USD,0001018724-25-000086,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,18164000000.0,15227000000.0,6534000000.0,32515000000.0,-32183000000.0,1700000000.0,7656000000.0,-39424000000.0,-3162000000.0,,,-2539000000.0,-8440000000.0,1008000000.0,57741000000.0,332000000.0,18164000000.0,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-25-000086,2025-08-01,CY2025Q2,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2025Q3,2025-09-30,2025-Q3,quarterly,USD,0001018724-25-000123,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,21187000000.0,16796000000.0,4847000000.0,35525000000.0,-35095000000.0,786000000.0,-7641000000.0,-26073000000.0,-1359000000.0,,,-44000000.0,9011000000.0,-397000000.0,66922000000.0,430000000.0,21187000000.0,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-25-000123,2025-10-31,CY2025Q3,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000123/0001018724-25-000123-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2025Q4,2025-12-31,2025-Q4,quarterly,USD,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,21192000000.0,19471000000.0,4397000000.0,54459000000.0,-39522000000.0,-1403000000.0,-7373000000.0,-47245000000.0,12291000000.0,0.0,0.0,12291000000.0,19642000000.0,137000000.0,86810000000.0,14937000000.0,15990000000.0,sec_html:PaymentsToAcquireProductiveAssets,0001018724-26-000004,2026-02-06,derived from YTD less prior YTD through Q3,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
AMZN,2026Q1,2026-03-31,2026-Q1,quarterly,USD,0001018724-26-000014,https://www.sec.gov/Archives/edgar/data/0001018724/000101872426000014/amzn-20260331.htm,30255000000.0,18945000000.0,4032000000.0,26032000000.0,-44203000000.0,15408000000.0,13570000000.0,-64212000000.0,52973000000.0,,,52767000000.0,14586000000.0,-1000000.0,101816000000.0,-18171000000.0,,sec_companyfacts:PaymentsToAcquireProductiveAssets,0001018724-26-000014,2026-04-30,CY2026Q1,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/0001018724-26-000014-index.htm,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
