ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
META,2023Q1,2023-03-31,2023-Q1,quarterly,USD,0001326801-23-000067,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000067/0001326801-23-000067-index.htm,5709000000.0,2524000000.0,3051000000.0,13998000000.0,-6842000000.0,,-449000000.0,-6743000000.0,-264000000.0,-9365000000.0,,-10516000000.0,-3176000000.0,85000000.0,11551000000.0,7156000000.0,-1133000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,direct quarter 2023-01-01 to 2023-03-31,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2023Q1_2023-Q1_sec_filing_html_10-q.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
META,2023Q2,2023-06-30,2023-Q2,quarterly,USD,0001326801-23-000093,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000093/0001326801-23-000093-index.htm,2079000000.0,2623000000.0,4060000000.0,17309000000.0,-6216000000.0,,-1099000000.0,-5203000000.0,8235000000.0,-898000000.0,,5292000000.0,17384000000.0,-14000000.0,28785000000.0,11093000000.0,-5270000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q1,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2023Q2_2023-Q2_sec_filing_html_10-q.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
META,2023Q3,2023-09-30,2023-Q3,quarterly,USD,0001326801-23-000103,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000103/0001326801-23-000103-index.htm,3795000000.0,2859000000.0,3492000000.0,20402000000.0,-6543000000.0,,-467000000.0,-6077000000.0,-267000000.0,-3569000000.0,,-5875000000.0,8096000000.0,-354000000.0,36890000000.0,13859000000.0,-8018000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q2,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2023Q3_2023-Q3_sec_filing_html_10-q.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
META,2023Q4,2023-12-31,2023-Q4,quarterly,USD,0001326801-24-000012,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm,14017000000.0,3172000000.0,3424000000.0,19404000000.0,-7665000000.0,-64000000.0,1186000000.0,-6472000000.0,-307000000.0,-5942000000.0,0.0,-8401000000.0,4927000000.0,396000000.0,41862000000.0,11739000000.0,11812000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q3,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2023Q4_2023-Q4_sec_filing_html_10-k.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
META,2024Q1,2024-03-31,2024-Q1,quarterly,USD,0001326801-24-000049,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000049/0001326801-24-000049-index.htm,12369000000.0,3374000000.0,3562000000.0,19246000000.0,-6400000000.0,,2262000000.0,-8734000000.0,-315000000.0,-15008000000.0,1273000000.0,-19767000000.0,-9543000000.0,-288000000.0,32307000000.0,12846000000.0,5969000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,direct quarter 2024-01-01 to 2024-03-31,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2024Q1_2024-Q1_sec_filing_html_10-q.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
META,2024Q2,2024-06-30,2024-Q2,quarterly,USD,0001326801-24-000069,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000069/0001326801-24-000069-index.htm,1096000000.0,3637000000.0,4616000000.0,19370000000.0,-8173000000.0,,56000000.0,-8298000000.0,-299000000.0,-6299000000.0,-7000000.0,-11178000000.0,-258000000.0,-152000000.0,32045000000.0,11197000000.0,-1108000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q1,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2024Q2_2024-Q2_sec_filing_html_10-q.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
META,2024Q3,2024-09-30,2024-Q3,quarterly,USD,0001326801-24-000081,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000081/0001326801-24-000081-index.htm,2223000000.0,4027000000.0,4250000000.0,24724000000.0,-8258000000.0,,354000000.0,-8620000000.0,9488000000.0,-8818000000.0,-3000000.0,-4371000000.0,12101000000.0,368000000.0,43852000000.0,16466000000.0,-7143000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q2,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2024Q3_2024-Q3_sec_filing_html_10-q.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
META,2024Q4,2024-12-31,2024-Q4,quarterly,USD,0001326801-25-000017,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,20838000000.0,4460000000.0,4262000000.0,27988000000.0,-14425000000.0,-9000000.0,-7082000000.0,-21498000000.0,-411000000.0,0.0,-1270000000.0,-5465000000.0,311000000.0,-714000000.0,43889000000.0,13563000000.0,13563000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q3,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2024Q4_2024-Q4_sec_filing_html_10-k.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
META,2025Q1,2025-03-31,2025-Q1,quarterly,USD,0001326801-25-000054,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000054/0001326801-25-000054-index.htm,16644000000.0,3900000000.0,4147000000.0,24026000000.0,-12941000000.0,,6979000000.0,-20010000000.0,-751000000.0,-12754000000.0,1329000000.0,-19495000000.0,-15367000000.0,112000000.0,28750000000.0,11085000000.0,3703000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,direct quarter 2025-01-01 to 2025-03-31,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2025Q1_2025-Q1_sec_filing_html_10-q.html,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
META,2025Q2,2025-06-30,2025-Q2,quarterly,USD,0001628280-25-036791,https://www.sec.gov/Archives/edgar/data/1326801/000162828025036791/0001628280-25-036791-index.htm,1693000000.0,4342000000.0,4834000000.0,25561000000.0,-16538000000.0,,-6527000000.0,-25958000000.0,-474000000.0,-10167000000.0,-2000000.0,-15977000000.0,-16243000000.0,131000000.0,12005000000.0,9023000000.0,-11142000000.0,sec_html:PaymentsToAcquirePropertyPlantAndEquipment,,,derived from YTD less prior YTD through Q1,data/hyperscaler/ir_documents/originals/META/sec_filing_html/META_2025Q2_2025-Q2_sec_filing_html_10-q.html,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
