ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
MSFT,2023Q1,2023-03-31,2023-Q3,quarterly,USD,0000950170-23-014423,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,18299000000.0,960000000.0,2465000000.0,24441000000.0,-6607000000.0,-301000000.0,5330000000.0,-3264000000.0,0.0,-4973000000.0,-5059000000.0,-10290000000.0,10916000000.0,29000000.0,26562000000.0,17834000000.0,11692000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY23Q3-zip/FinancialStatementFY23Q3.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
MSFT,2023Q2,2023-06-30,2023-Q4,quarterly,USD,0000950170-23-035122,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,20081000000.0,3874000000.0,2416000000.0,28770000000.0,-8943000000.0,-341000000.0,419000000.0,-9134000000.0,-1000000000.0,-5192000000.0,-5054000000.0,-11413000000.0,8142000000.0,-81000000.0,34704000000.0,19827000000.0,19827000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY23Q4-zip/FinancialStatementFY23Q4.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
MSFT,2023Q3,2023-09-30,2024-Q1,quarterly,USD,0000950170-23-054855,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/0000950170-23-054855-index.htm,22291000000.0,1016000000.0,2507000000.0,30583000000.0,-9917000000.0,-1186000000.0,12588000000.0,503000000.0,24265000000.0,-4146000000.0,-5051000000.0,14761000000.0,45748000000.0,-99000000.0,80452000000.0,20666000000.0,12374000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY24Q1-zip/FinancialStatementFY24Q1.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
MSFT,2023Q4,2023-12-31,2024-Q2,quarterly,USD,0000950170-24-008814,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/0000950170-24-008814-index.htm,21870000000.0,1708000000.0,2828000000.0,18853000000.0,-9735000000.0,-65029000000.0,1492000000.0,-71925000000.0,-633000000.0,-3739000000.0,-5574000000.0,-10147000000.0,-63147000000.0,72000000.0,17305000000.0,9118000000.0,12135000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY24Q2-zip/FinancialStatementFY24Q2.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
MSFT,2024Q1,2024-03-31,2024-Q3,quarterly,USD,0000950170-24-048288,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288-index.htm,21939000000.0,1853000000.0,2703000000.0,31917000000.0,-10952000000.0,-1575000000.0,3108000000.0,-10700000000.0,-9047000000.0,-3691000000.0,-5572000000.0,-18808000000.0,2329000000.0,-80000000.0,19634000000.0,20965000000.0,10987000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY24Q3-zip/FinancialStatementFY24Q3.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
MSFT,2024Q2,2024-06-30,2024-Q4,quarterly,USD,0000950170-24-087843,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,22036000000.0,6380000000.0,2696000000.0,37195000000.0,-13873000000.0,-1342000000.0,749000000.0,-14848000000.0,-14010000000.0,-3676000000.0,-5574000000.0,-23563000000.0,-1319000000.0,-103000000.0,18315000000.0,23322000000.0,23322000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY24Q4-zip/FinancialStatementFY24Q4.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
MSFT,2024Q3,2024-09-30,2025-Q1,quarterly,USD,0000950170-24-118967,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/0000950170-24-118967-index.htm,24667000000.0,2096000000.0,2832000000.0,34180000000.0,-14923000000.0,-1849000000.0,2484000000.0,-15201000000.0,-6712000000.0,-3401000000.0,-5574000000.0,-16576000000.0,2525000000.0,122000000.0,20840000000.0,19257000000.0,9744000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY25Q1-zip/FinancialStatementFY25Q1.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
MSFT,2024Q4,2024-12-31,2025-Q2,quarterly,USD,0000950170-25-010491,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491-index.htm,24108000000.0,2330000000.0,3089000000.0,22291000000.0,-15804000000.0,-1405000000.0,3113000000.0,-14112000000.0,0.0,-4730000000.0,-6170000000.0,-11243000000.0,-3358000000.0,-294000000.0,17482000000.0,6487000000.0,8304000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY25Q2-zip/FinancialStatementFY25Q2.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
MSFT,2025Q1,2025-03-31,2025-Q3,quarterly,USD,0000950170-25-061046,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,25824000000.0,2400000000.0,2980000000.0,37044000000.0,-16745000000.0,-981000000.0,4408000000.0,-12714000000.0,-2250000000.0,-4235000000.0,-6169000000.0,-13036000000.0,11346000000.0,52000000.0,28828000000.0,20299000000.0,9079000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY25Q3-zip/FinancialStatementFY25Q3.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
MSFT,2025Q2,2025-06-30,2025-Q4,quarterly,USD,0000950170-25-100235,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,27233000000.0,11203000000.0,3073000000.0,42647000000.0,-17079000000.0,-1743000000.0,-14392000000.0,-30572000000.0,0.0,-3998000000.0,-6169000000.0,-10844000000.0,1414000000.0,183000000.0,30242000000.0,25568000000.0,25568000000.0,msft_financialstatement_xlsx:AdditionsToPropertyAndEquipment,,,quarterly FinancialStatement XLSX,data/hyperscaler/ir_documents/originals/MSFT/FY25q4-zip/FinancialStatementFY25Q4.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
