ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
ORCL,2023Q2,2023-05-31,2023-Q4,quarterly,USD,0000950170-23-028914,https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/orcl-20230531.htm,3319000000.0,1586000000.0,964000000.0,5647000000.0,-1913000000.0,0.0,301000000.0,-1612000000.0,-1374000000.0,120000000.0,-1082000000.0,-2440000000.0,1546000000.0,-49000000.0,9765000000.0,3734000000.0,3734000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2023Q2_2023-Q4_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
ORCL,2023Q3,2023-08-31,2024-Q1,quarterly,USD,0000950170-23-047713,https://www.sec.gov/Archives/edgar/data/1341439/000095017023047713/0000950170-23-047713-index.htm,2420000000.0,1475000000.0,849000000.0,6974000000.0,-1314000000.0,0.0,-248000000.0,-1562000000.0,-1562000000.0,-902000000.0,-1091000000.0,-3528000000.0,1848000000.0,-36000000.0,11613000000.0,5660000000.0,1106000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2023Q3_2024-Q1_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
ORCL,2023Q4,2023-11-30,2024-Q2,quarterly,USD,0000950170-23-069682,https://www.sec.gov/Archives/edgar/data/1341439/000095017023069682/0000950170-23-069682-index.htm,2503000000.0,1553000000.0,1029000000.0,143000000.0,-1080000000.0,-59000000.0,-110000000.0,-1249000000.0,-189000000.0,-1005000000.0,-1099000000.0,-2289000000.0,-3369000000.0,26000000.0,8244000000.0,-937000000.0,109000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2023Q4_2024-Q2_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
ORCL,2024Q1,2024-02-29,2024-Q3,quarterly,USD,0000950170-24-029904,https://www.sec.gov/Archives/edgar/data/1341439/000095017024029904/0000950170-24-029904-index.htm,2401000000.0,1557000000.0,1049000000.0,5475000000.0,-1674000000.0,0.0,-109000000.0,-1783000000.0,-813000000.0,-554000000.0,-1099000000.0,-2463000000.0,1237000000.0,8000000.0,9481000000.0,3801000000.0,-1667000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2024Q1_2024-Q3_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
ORCL,2024Q2,2024-05-31,2024-Q4,quarterly,USD,0000950170-24-075605,https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/orcl-20240531.htm,3143000000.0,1554000000.0,1047000000.0,6081000000.0,-2798000000.0,-4000000.0,36000000.0,-2766000000.0,-936000000.0,-39000000.0,-1102000000.0,-2274000000.0,973000000.0,-68000000.0,10454000000.0,3283000000.0,3283000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2024Q2_2024-Q4_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
ORCL,2024Q3,2024-08-31,2025-Q1,quarterly,USD,0000950170-24-104905,https://www.sec.gov/Archives/edgar/data/1341439/000095017024104905/0000950170-24-104905-index.htm,2929000000.0,1428000000.0,1007000000.0,7427000000.0,-2303000000.0,0.0,-462000000.0,-2765000000.0,-7630000000.0,-822000000.0,-1103000000.0,-4585000000.0,162000000.0,85000000.0,10616000000.0,5124000000.0,626000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2024Q3_2025-Q1_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
ORCL,2024Q4,2024-11-30,2025-Q2,quarterly,USD,0000950170-24-134973,https://www.sec.gov/Archives/edgar/data/1341439/000095017024134973/0000950170-24-134973-index.htm,3151000000.0,1499000000.0,1169000000.0,1304000000.0,-3970000000.0,0.0,182000000.0,-3788000000.0,9767000000.0,-69000000.0,-1118000000.0,2938000000.0,325000000.0,-129000000.0,10941000000.0,-2666000000.0,-3122000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2024Q4_2025-Q2_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
ORCL,2025Q1,2025-02-28,2025-Q3,quarterly,USD,0000950170-25-037143,https://www.sec.gov/Archives/edgar/data/1341439/000095017025037143/0000950170-25-037143-index.htm,2936000000.0,1551000000.0,1198000000.0,5933000000.0,-5862000000.0,0.0,-114000000.0,-5976000000.0,7640000000.0,61000000.0,-1119000000.0,6559000000.0,6465000000.0,-51000000.0,17406000000.0,71000000.0,-9199000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2025Q1_2025-Q3_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,fiscal_ytd_to_quarter,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
ORCL,2025Q2,2025-05-31,2025-Q4,quarterly,USD,0000950170-25-087926,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,3427000000.0,1696000000.0,1300000000.0,6157000000.0,-9080000000.0,0.0,-102000000.0,-9182000000.0,-4181000000.0,-17000000.0,-1403000000.0,-3814000000.0,-6620000000.0,219000000.0,10786000000.0,-2923000000.0,-2923000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2025Q2_2025-Q4_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
ORCL,2025Q3,2025-08-31,2026-Q1,quarterly,USD,0001193125-25-200095,https://www.sec.gov/Archives/edgar/data/1341439/000119312525200095/0001193125-25-200095-index.htm,2927000000.0,1771000000.0,1124000000.0,8140000000.0,-8502000000.0,0.0,-216000000.0,-8718000000.0,-1052000000.0,1058000000.0,-1413000000.0,210000000.0,-341000000.0,27000000.0,10445000000.0,-362000000.0,-5575000000.0,orcl_financial_tables_xlsx:Capital expenditures,,,quarterly Oracle financial tables XLSX,data/hyperscaler/ir_documents/originals/ORCL/financial_tables_xlsx/ORCL_2025Q3_2026-Q1_financial_tables_xlsx_detailed-financials-tables-xls.xlsx,,,,,,,calculated:net_cash_flow_from_operations_minus_abs_capital_expenditure
