ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,cash_flow_normalization,fcf_source
AMZN,2023Q1,2023-03-31,2023-Q1,quarterly,USD,0001018724-23-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/0001018724-23-000008-index.htm,127358000000.0,67791000000.0,59567000000.0,15411000000.0,13215000000.0,,4774000000.0,80000000.0,4200000000.0,948000000.0,,,3172000000.0,3172000000.0,0.0,3172000000.0,0.31,0.31,,10250000000.0,10347000000.0,,,,,,,
AMZN,2023Q2,2023-06-30,2023-Q2,quarterly,USD,0001018724-23-000012,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/0001018724-23-000012-index.htm,134383000000.0,69373000000.0,65010000000.0,16246000000.0,13947000000.0,,7681000000.0,76000000.0,7630000000.0,804000000.0,,,6750000000.0,6750000000.0,0.0,6750000000.0,0.66,0.65,,10285000000.0,10449000000.0,,,,,,,
AMZN,2023Q3,2023-09-30,2023-Q3,quarterly,USD,0001018724-23-000018,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/0001018724-23-000018-index.htm,143083000000.0,75022000000.0,68061000000.0,15471000000.0,13112000000.0,,11188000000.0,74000000.0,12259000000.0,2306000000.0,,,9879000000.0,9879000000.0,0.0,9879000000.0,0.96,0.94,,10322000000.0,10558000000.0,,,,,,,
AMZN,2023Q4,2023-12-31,2023-Q4,quarterly,USD,0001018724-24-000008,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,169961000000.0,92553000000.0,77408000000.0,64199000000.0,15912000000.0,22038000000.0,13209000000.0,713000000.0,14399000000.0,3062000000.0,0.0,0.0,10624000000.0,10624000000.0,0.0,10624000000.0,1.02,1.01,0.0,10358000000.0,10612000000.0,,,,,,,
AMZN,2024Q1,2024-03-31,2024-Q1,quarterly,USD,0001018724-24-000083,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/0001018724-24-000083-index.htm,143313000000.0,72633000000.0,70680000000.0,13345000000.0,12404000000.0,,15307000000.0,73000000.0,12971000000.0,2467000000.0,,,10431000000.0,10431000000.0,0.0,10431000000.0,1.0,0.98,,10393000000.0,10670000000.0,,,,,,,
AMZN,2024Q2,2024-06-30,2024-Q2,quarterly,USD,0001018724-24-000130,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/0001018724-24-000130-index.htm,147977000000.0,73785000000.0,74192000000.0,14501000000.0,13553000000.0,,14672000000.0,589000000.0,15841000000.0,1767000000.0,,,13485000000.0,13485000000.0,0.0,13485000000.0,1.29,1.26,,10447000000.0,10708000000.0,,,,,,,
AMZN,2024Q3,2024-09-30,2024-Q3,quarterly,USD,0001018724-24-000161,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000161/0001018724-24-000161-index.htm,158877000000.0,80977000000.0,77900000000.0,14362000000.0,13322000000.0,,17411000000.0,603000000.0,18637000000.0,2706000000.0,,,15328000000.0,15328000000.0,0.0,15328000000.0,1.46,1.43,,10501000000.0,10735000000.0,,,,,,,
AMZN,2024Q4,2024-12-31,2024-Q4,quarterly,USD,0001018724-25-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,187792000000.0,98893000000.0,88899000000.0,67696000000.0,15987000000.0,23571000000.0,21203000000.0,570000000.0,22899000000.0,2325000000.0,0.0,0.0,20004000000.0,20004000000.0,0.0,20004000000.0,1.9,1.86,0.0,10551000000.0,10769000000.0,,,,,,,
AMZN,2025Q1,2025-03-31,2025-Q1,quarterly,USD,0001018724-25-000036,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000036/0001018724-25-000036-index.htm,155667000000.0,76976000000.0,78691000000.0,13264000000.0,12391000000.0,,18405000000.0,541000000.0,22221000000.0,4553000000.0,,,17127000000.0,17127000000.0,0.0,17127000000.0,1.62,1.59,,10603000000.0,10793000000.0,,,,,,,
AMZN,2025Q2,2025-06-30,2025-Q2,quarterly,USD,0001018724-25-000086,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/0001018724-25-000086-index.htm,167702000000.0,80809000000.0,86893000000.0,15208000000.0,14381000000.0,,19171000000.0,516000000.0,21358000000.0,2678000000.0,,,18164000000.0,18164000000.0,0.0,18164000000.0,1.71,1.68,,10637000000.0,10806000000.0,,,,,,,
